2024-04-13 13:41 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 3.4892 | Acc: 84.88%
2024-04-13 13:41 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 4.1842 | Acc: 82.98%
2024-04-13 13:42 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 3.4805 | Acc: 82.44%
2024-04-13 13:42 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 7.1985 | Acc: 76.10%
2024-04-13 13:42 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 9.6162 | Acc: 70.64%
2024-04-13 13:42 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 3.8050 | Acc: 80.41%
2024-04-13 13:42 Model saved! Best Val Acc: 76.59%
2024-04-13 13:42 test_domain Round:   0 | Epochs:   0 | Domain: p | loss: 2.7467 | Acc: 89.10%
2024-04-13 13:43 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 4.3855 | Acc: 84.39%
2024-04-13 13:43 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 4.8496 | Acc: 87.23%
2024-04-13 13:44 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 5.9479 | Acc: 85.75%
2024-04-13 13:44 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 7.4521 | Acc: 80.49%
2024-04-13 13:44 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 9.8611 | Acc: 73.19%
2024-04-13 13:44 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 4.8731 | Acc: 82.95%
2024-04-13 13:44 Model saved! Best Val Acc: 79.60%
2024-04-13 13:44 test_domain Round:   1 | Epochs:   5 | Domain: p | loss: 3.3920 | Acc: 89.88%
2024-04-13 13:45 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 5.6561 | Acc: 86.34%
2024-04-13 13:46 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 5.9229 | Acc: 86.81%
2024-04-13 13:47 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 6.1638 | Acc: 83.97%
2024-04-13 13:47 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 9.3124 | Acc: 81.95%
2024-04-13 13:47 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 10.2484 | Acc: 77.87%
2024-04-13 13:47 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 5.9959 | Acc: 82.44%
2024-04-13 13:47 Model saved! Best Val Acc: 81.03%
2024-04-13 13:47 test_domain Round:   2 | Epochs:  10 | Domain: p | loss: 5.2006 | Acc: 89.64%
2024-04-13 13:47 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 7.0712 | Acc: 86.34%
2024-04-13 13:48 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 5.5731 | Acc: 86.81%
2024-04-13 13:49 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 7.9888 | Acc: 84.99%
2024-04-13 13:49 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 10.2556 | Acc: 81.46%
2024-04-13 13:49 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 11.2718 | Acc: 77.87%
2024-04-13 13:49 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 8.1515 | Acc: 82.19%
2024-04-13 13:49 test_domain Round:   3 | Epochs:  15 | Domain: p | loss: 6.7977 | Acc: 89.34%
2024-04-13 13:49 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 9.4273 | Acc: 86.83%
2024-04-13 13:50 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 9.0408 | Acc: 84.68%
2024-04-13 13:51 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 8.8153 | Acc: 86.26%
2024-04-13 13:51 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 10.2029 | Acc: 84.88%
2024-04-13 13:51 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 13.9967 | Acc: 78.30%
2024-04-13 13:51 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 7.7464 | Acc: 84.22%
2024-04-13 13:51 Model saved! Best Val Acc: 82.72%
2024-04-13 13:51 test_domain Round:   4 | Epochs:  20 | Domain: p | loss: 6.7570 | Acc: 90.72%
2024-04-13 13:52 before_fed Round:   5 | Epochs:  25 | Domain: a | loss: 10.0343 | Acc: 87.32%
2024-04-13 13:52 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 11.5186 | Acc: 85.53%
2024-04-13 13:53 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 10.1852 | Acc: 83.21%
2024-04-13 13:53 after_fed Round:   5 | Epochs:  25 | Domain: a | loss: 12.2491 | Acc: 83.90%
2024-04-13 13:53 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 15.4407 | Acc: 78.30%
2024-04-13 13:53 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 9.2562 | Acc: 82.19%
2024-04-13 13:53 test_domain Round:   5 | Epochs:  25 | Domain: p | loss: 7.7099 | Acc: 89.28%
2024-04-13 13:54 before_fed Round:   6 | Epochs:  30 | Domain: a | loss: 9.7025 | Acc: 88.29%
2024-04-13 13:54 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 10.2264 | Acc: 85.53%
2024-04-13 13:55 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 9.7926 | Acc: 86.01%
2024-04-13 13:55 after_fed Round:   6 | Epochs:  30 | Domain: a | loss: 11.4869 | Acc: 82.44%
2024-04-13 13:55 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 15.6010 | Acc: 79.15%
2024-04-13 13:55 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 10.5798 | Acc: 83.21%
2024-04-13 13:55 test_domain Round:   6 | Epochs:  30 | Domain: p | loss: 7.9217 | Acc: 89.94%
2024-04-13 13:56 before_fed Round:   7 | Epochs:  35 | Domain: a | loss: 11.2557 | Acc: 86.83%
2024-04-13 13:57 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 10.7835 | Acc: 86.81%
2024-04-13 13:58 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 9.7543 | Acc: 86.01%
2024-04-13 13:58 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 13.8583 | Acc: 83.41%
2024-04-13 13:58 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 16.2825 | Acc: 80.43%
2024-04-13 13:58 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 9.7538 | Acc: 84.73%
2024-04-13 13:58 Model saved! Best Val Acc: 83.20%
2024-04-13 13:58 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 7.8344 | Acc: 90.18%
2024-04-13 13:58 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 10.8989 | Acc: 85.37%
2024-04-13 13:59 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 15.3407 | Acc: 79.57%
2024-04-13 14:00 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 8.7204 | Acc: 86.51%
2024-04-13 14:00 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 12.7629 | Acc: 83.41%
2024-04-13 14:00 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 15.6177 | Acc: 80.00%
2024-04-13 14:00 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 9.1949 | Acc: 86.01%
2024-04-13 14:00 Model saved! Best Val Acc: 83.68%
2024-04-13 14:00 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 7.7693 | Acc: 90.72%
2024-04-13 14:00 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 10.1782 | Acc: 84.88%
2024-04-13 14:01 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 13.6174 | Acc: 80.85%
2024-04-13 14:02 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 8.0320 | Acc: 88.04%
2024-04-13 14:02 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 11.8851 | Acc: 83.90%
2024-04-13 14:02 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 15.5003 | Acc: 80.43%
2024-04-13 14:02 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 8.6167 | Acc: 86.51%
2024-04-13 14:02 Model saved! Best Val Acc: 84.16%
2024-04-13 14:02 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 7.5378 | Acc: 90.84%
2024-04-13 14:03 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 10.1949 | Acc: 84.88%
2024-04-13 14:03 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 13.2554 | Acc: 81.70%
2024-04-13 14:04 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 8.3353 | Acc: 88.55%
2024-04-13 14:04 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 11.4958 | Acc: 84.88%
2024-04-13 14:04 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 15.4806 | Acc: 80.43%
2024-04-13 14:04 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 8.8287 | Acc: 87.02%
2024-04-13 14:04 Model saved! Best Val Acc: 84.64%
2024-04-13 14:04 test_domain Round:  10 | Epochs:  50 | Domain: p | loss: 7.4676 | Acc: 90.54%
