2024-04-13 14:29 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.4335 | Acc: 97.60%
2024-04-13 14:30 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 3.1732 | Acc: 87.80%
2024-04-13 14:30 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 4.8407 | Acc: 81.93%
2024-04-13 14:30 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.8418 | Acc: 92.81%
2024-04-13 14:31 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 6.4490 | Acc: 73.66%
2024-04-13 14:31 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 3.2017 | Acc: 81.42%
2024-04-13 14:31 Model saved! Best Val Acc: 81.83%
2024-04-13 14:31 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 12.9189 | Acc: 64.59%
2024-04-13 14:31 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.3288 | Acc: 96.41%
2024-04-13 14:32 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 4.3337 | Acc: 87.32%
2024-04-13 14:33 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 6.4358 | Acc: 84.99%
2024-04-13 14:33 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.9314 | Acc: 94.61%
2024-04-13 14:33 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 6.6288 | Acc: 80.00%
2024-04-13 14:33 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 4.2693 | Acc: 85.75%
2024-04-13 14:33 Model saved! Best Val Acc: 86.15%
2024-04-13 14:33 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 19.0208 | Acc: 63.31%
2024-04-13 14:33 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.5306 | Acc: 96.41%
2024-04-13 14:34 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 5.6496 | Acc: 88.29%
2024-04-13 14:35 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 8.5763 | Acc: 82.70%
2024-04-13 14:35 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 2.2986 | Acc: 96.41%
2024-04-13 14:35 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 7.6020 | Acc: 81.46%
