2024-04-14 13:27 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 5.6943 | Acc: 67.38%
2024-04-14 13:27 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.1375 | Acc: 99.00%
2024-04-14 13:28 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 6.5119 | Acc: 73.48%
2024-04-14 13:28 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 10.3062 | Acc: 57.75%
2024-04-14 13:28 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.8991 | Acc: 95.00%
2024-04-14 13:28 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 5.3174 | Acc: 68.70%
2024-04-14 13:28 Model saved! Best Val Acc: 69.80%
2024-04-14 13:28 test_domain Round:   0 | Epochs:   0 | Domain: v | loss: 12.1663 | Acc: 63.18%
2024-04-14 13:28 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 9.1925 | Acc: 64.71%
2024-04-14 13:29 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 13:29 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 10.1628 | Acc: 73.91%
2024-04-14 13:29 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 12.0755 | Acc: 60.96%
2024-04-14 13:29 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.7740 | Acc: 98.00%
2024-04-14 13:29 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 6.7209 | Acc: 70.87%
2024-04-14 13:29 Model saved! Best Val Acc: 72.50%
2024-04-14 13:29 test_domain Round:   1 | Epochs:   5 | Domain: v | loss: 11.3599 | Acc: 63.08%
2024-04-14 13:30 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 12.9851 | Acc: 67.38%
2024-04-14 13:30 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0854 | Acc: 99.00%
2024-04-14 13:31 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 13.7165 | Acc: 70.43%
2024-04-14 13:31 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 18.0221 | Acc: 58.82%
2024-04-14 13:31 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.1438 | Acc: 96.00%
2024-04-14 13:31 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 9.7303 | Acc: 70.00%
2024-04-14 13:31 test_domain Round:   2 | Epochs:  10 | Domain: v | loss: 17.9622 | Acc: 60.91%
2024-04-14 13:32 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 16.2308 | Acc: 64.71%
2024-04-14 13:32 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.5463 | Acc: 99.00%
2024-04-14 13:33 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 14.6608 | Acc: 68.26%
2024-04-14 13:33 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 18.4464 | Acc: 62.57%
2024-04-14 13:33 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.5991 | Acc: 97.00%
2024-04-14 13:33 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 10.3259 | Acc: 68.70%
2024-04-14 13:33 test_domain Round:   3 | Epochs:  15 | Domain: v | loss: 20.9082 | Acc: 61.99%
2024-04-14 13:33 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 18.1616 | Acc: 65.78%
2024-04-14 13:34 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 13:34 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 15.6841 | Acc: 74.35%
2024-04-14 13:34 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 26.1343 | Acc: 58.29%
2024-04-14 13:34 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.1192 | Acc: 98.00%
2024-04-14 13:34 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 13.0103 | Acc: 72.61%
2024-04-14 13:34 test_domain Round:   4 | Epochs:  20 | Domain: v | loss: 21.8477 | Acc: 62.09%
2024-04-14 13:35 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 23.3496 | Acc: 67.38%
2024-04-14 13:35 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0349 | Acc: 99.00%
2024-04-14 13:36 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 17.1206 | Acc: 72.61%
2024-04-14 13:36 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 26.2117 | Acc: 60.96%
2024-04-14 13:36 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.1441 | Acc: 99.00%
2024-04-14 13:36 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 14.6416 | Acc: 71.74%
2024-04-14 13:36 Model saved! Best Val Acc: 73.09%
2024-04-14 13:36 test_domain Round:   5 | Epochs:  25 | Domain: v | loss: 23.4217 | Acc: 64.86%
2024-04-14 13:36 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 23.6428 | Acc: 65.78%
2024-04-14 13:37 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.4113 | Acc: 99.00%
2024-04-14 13:37 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 20.1318 | Acc: 71.30%
2024-04-14 13:37 after_fed Round:   6 | Epochs:  30 | Domain: l | loss: 34.8199 | Acc: 59.89%
2024-04-14 13:37 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 1.3863 | Acc: 97.00%
2024-04-14 13:37 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 17.0417 | Acc: 69.57%
2024-04-14 13:38 test_domain Round:   6 | Epochs:  30 | Domain: v | loss: 26.0667 | Acc: 64.96%
2024-04-14 13:38 before_fed Round:   7 | Epochs:  35 | Domain: l | loss: 24.1832 | Acc: 67.38%
2024-04-14 13:38 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 13:39 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 24.6933 | Acc: 70.00%
2024-04-14 13:39 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 29.3796 | Acc: 62.57%
2024-04-14 13:39 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.5575 | Acc: 98.00%
2024-04-14 13:39 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 18.2573 | Acc: 71.74%
2024-04-14 13:39 Model saved! Best Val Acc: 73.47%
2024-04-14 13:39 test_domain Round:   7 | Epochs:  35 | Domain: v | loss: 25.3316 | Acc: 64.07%
2024-04-14 13:40 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 21.6979 | Acc: 65.78%
2024-04-14 13:40 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.1727 | Acc: 99.00%
2024-04-14 13:41 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 18.9819 | Acc: 71.30%
2024-04-14 13:41 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 25.6350 | Acc: 65.78%
2024-04-14 13:41 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.5710 | Acc: 98.00%
2024-04-14 13:41 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 18.1557 | Acc: 71.30%
2024-04-14 13:41 Model saved! Best Val Acc: 74.44%
2024-04-14 13:41 test_domain Round:   8 | Epochs:  40 | Domain: v | loss: 26.4785 | Acc: 63.97%
2024-04-14 13:41 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 21.8285 | Acc: 66.31%
2024-04-14 13:42 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.2844 | Acc: 99.00%
2024-04-14 13:42 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 21.1531 | Acc: 69.57%
2024-04-14 13:42 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 28.5123 | Acc: 62.57%
2024-04-14 13:42 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.6571 | Acc: 97.00%
2024-04-14 13:42 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 17.9998 | Acc: 73.04%
2024-04-14 13:42 test_domain Round:   9 | Epochs:  45 | Domain: v | loss: 27.5130 | Acc: 63.38%
2024-04-14 13:43 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 22.2934 | Acc: 65.78%
2024-04-14 13:43 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.3959 | Acc: 99.00%
2024-04-14 13:44 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 20.2137 | Acc: 70.43%
2024-04-14 13:44 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 28.4419 | Acc: 64.71%
2024-04-14 13:44 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.9453 | Acc: 97.00%
2024-04-14 13:44 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 17.9274 | Acc: 71.74%
2024-04-14 13:44 test_domain Round:  10 | Epochs:  50 | Domain: v | loss: 28.4624 | Acc: 63.87%
