2024-04-14 13:45 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 6.2235 | Acc: 76.27%
2024-04-14 13:45 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2480 | Acc: 99.00%
2024-04-14 13:46 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 7.0236 | Acc: 73.91%
2024-04-14 13:46 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 8.1344 | Acc: 74.15%
2024-04-14 13:46 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.9239 | Acc: 97.00%
2024-04-14 13:46 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 6.9262 | Acc: 73.04%
2024-04-14 13:46 Model saved! Best Val Acc: 77.70%
2024-04-14 13:46 test_domain Round:   0 | Epochs:   0 | Domain: l | loss: 18.0764 | Acc: 52.32%
2024-04-14 13:47 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 10.6544 | Acc: 75.00%
2024-04-14 13:47 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 13:48 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 10.3226 | Acc: 72.61%
2024-04-14 13:48 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 9.2062 | Acc: 72.03%
2024-04-14 13:48 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.3786 | Acc: 98.00%
2024-04-14 13:48 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 9.8076 | Acc: 69.57%
2024-04-14 13:48 test_domain Round:   1 | Epochs:   5 | Domain: l | loss: 27.2780 | Acc: 51.94%
2024-04-14 13:48 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 11.3596 | Acc: 78.39%
2024-04-14 13:49 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 13:49 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 12.0123 | Acc: 73.91%
2024-04-14 13:49 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 11.3322 | Acc: 76.27%
2024-04-14 13:49 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.5812 | Acc: 99.00%
2024-04-14 13:49 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 10.8605 | Acc: 74.78%
2024-04-14 13:49 Model saved! Best Val Acc: 79.64%
2024-04-14 13:49 test_domain Round:   2 | Epochs:  10 | Domain: l | loss: 29.0548 | Acc: 52.95%
2024-04-14 13:50 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 13.6542 | Acc: 77.97%
2024-04-14 13:50 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.1635 | Acc: 99.00%
2024-04-14 13:51 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 13.7865 | Acc: 73.48%
2024-04-14 13:51 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 13.7811 | Acc: 75.42%
2024-04-14 13:51 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.7703 | Acc: 98.00%
2024-04-14 13:51 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 13.8427 | Acc: 72.61%
2024-04-14 13:51 test_domain Round:   3 | Epochs:  15 | Domain: l | loss: 36.4707 | Acc: 52.45%
2024-04-14 13:52 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 16.0620 | Acc: 77.54%
2024-04-14 13:52 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 13:53 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 15.3618 | Acc: 76.96%
2024-04-14 13:53 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 13.9554 | Acc: 75.00%
2024-04-14 13:53 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.7306 | Acc: 98.00%
2024-04-14 13:53 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 15.7995 | Acc: 72.61%
2024-04-14 13:53 test_domain Round:   4 | Epochs:  20 | Domain: l | loss: 42.3199 | Acc: 53.07%
2024-04-14 13:53 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 16.2855 | Acc: 82.20%
2024-04-14 13:54 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 13:54 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 19.2311 | Acc: 73.48%
2024-04-14 13:54 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 15.5070 | Acc: 79.24%
2024-04-14 13:54 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.7955 | Acc: 99.00%
2024-04-14 13:54 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 18.1688 | Acc: 73.91%
2024-04-14 13:54 Model saved! Best Val Acc: 80.53%
2024-04-14 13:54 test_domain Round:   5 | Epochs:  25 | Domain: l | loss: 47.6123 | Acc: 53.70%
2024-04-14 13:55 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 18.2762 | Acc: 76.69%
2024-04-14 13:55 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.0000 | Acc: 100.00%
2024-04-14 13:56 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 20.5976 | Acc: 75.22%
