2024-04-14 14:00 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.8200 | Acc: 73.73%
2024-04-14 14:00 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.0162 | Acc: 72.19%
2024-04-14 14:01 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.1383 | Acc: 72.17%
2024-04-14 14:01 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 2.1920 | Acc: 11.02%
2024-04-14 14:01 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 2.1202 | Acc: 12.83%
2024-04-14 14:01 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 2.6735 | Acc: 5.22%
2024-04-14 14:01 Model saved! Best Val Acc: 9.49%
2024-04-14 14:01 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 2.0494 | Acc: 18.40%
2024-04-14 14:01 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.1336 | Acc: 73.31%
2024-04-14 14:02 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.1582 | Acc: 66.31%
2024-04-14 14:02 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.6319 | Acc: 70.00%
2024-04-14 14:03 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.3649 | Acc: 59.32%
2024-04-14 14:03 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.1098 | Acc: 55.08%
2024-04-14 14:03 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.5576 | Acc: 45.22%
2024-04-14 14:03 Model saved! Best Val Acc: 53.14%
2024-04-14 14:03 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 1.0599 | Acc: 69.34%
2024-04-14 14:03 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.3061 | Acc: 74.15%
2024-04-14 14:04 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.4859 | Acc: 64.71%
2024-04-14 14:04 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.9168 | Acc: 66.96%
2024-04-14 14:04 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.2249 | Acc: 53.39%
2024-04-14 14:04 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.1598 | Acc: 58.29%
2024-04-14 14:04 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.5824 | Acc: 42.17%
2024-04-14 14:04 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 0.9317 | Acc: 75.71%
2024-04-14 14:05 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.4730 | Acc: 69.07%
2024-04-14 14:05 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.4701 | Acc: 68.45%
2024-04-14 14:06 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.8013 | Acc: 73.91%
2024-04-14 14:06 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.5747 | Acc: 55.93%
2024-04-14 14:06 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.0450 | Acc: 59.89%
2024-04-14 14:06 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.6475 | Acc: 46.96%
2024-04-14 14:06 Model saved! Best Val Acc: 53.90%
2024-04-14 14:06 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 0.9529 | Acc: 77.59%
2024-04-14 14:06 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 1.5175 | Acc: 68.64%
2024-04-14 14:07 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.6541 | Acc: 65.78%
2024-04-14 14:07 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 1.7706 | Acc: 64.78%
2024-04-14 14:07 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 1.5151 | Acc: 50.85%
2024-04-14 14:07 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.0664 | Acc: 58.29%
2024-04-14 14:07 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 1.8107 | Acc: 47.39%
2024-04-14 14:08 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 0.9900 | Acc: 73.35%
2024-04-14 14:08 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 1.9619 | Acc: 72.03%
2024-04-14 14:09 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 1.9650 | Acc: 60.43%
2024-04-14 14:09 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 1.7520 | Acc: 72.61%
2024-04-14 14:09 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 1.1792 | Acc: 64.83%
2024-04-14 14:09 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 1.0518 | Acc: 63.10%
2024-04-14 14:09 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 1.0245 | Acc: 65.22%
2024-04-14 14:09 Model saved! Best Val Acc: 64.47%
2024-04-14 14:09 test_domain Round:   5 | Epochs:  25 | Domain: c | loss: 1.1714 | Acc: 59.91%
2024-04-14 14:10 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 1.4292 | Acc: 74.15%
2024-04-14 14:10 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 1.9162 | Acc: 67.38%
2024-04-14 14:11 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 2.1165 | Acc: 71.30%
2024-04-14 14:11 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 1.2521 | Acc: 59.75%
2024-04-14 14:11 after_fed Round:   6 | Epochs:  30 | Domain: l | loss: 1.3068 | Acc: 58.82%
2024-04-14 14:11 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 1.3498 | Acc: 58.26%
2024-04-14 14:11 test_domain Round:   6 | Epochs:  30 | Domain: c | loss: 0.8451 | Acc: 78.07%
2024-04-14 14:11 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 1.7392 | Acc: 71.61%
2024-04-14 14:12 before_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.6147 | Acc: 70.59%
2024-04-14 14:12 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.8988 | Acc: 71.74%
2024-04-14 14:12 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 1.1481 | Acc: 66.10%
2024-04-14 14:12 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.0665 | Acc: 67.91%
2024-04-14 14:13 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.1922 | Acc: 63.48%
2024-04-14 14:13 Model saved! Best Val Acc: 65.69%
2024-04-14 14:13 test_domain Round:   7 | Epochs:  35 | Domain: c | loss: 1.1267 | Acc: 61.79%
2024-04-14 14:13 before_fed Round:   8 | Epochs:  40 | Domain: v | loss: 1.4282 | Acc: 72.03%
2024-04-14 14:14 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.6160 | Acc: 68.45%
2024-04-14 14:14 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.4872 | Acc: 71.30%
2024-04-14 14:14 after_fed Round:   8 | Epochs:  40 | Domain: v | loss: 1.4146 | Acc: 72.03%
2024-04-14 14:14 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 2.2398 | Acc: 66.84%
2024-04-14 14:14 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.3238 | Acc: 73.48%
2024-04-14 14:14 Model saved! Best Val Acc: 71.06%
2024-04-14 14:14 test_domain Round:   8 | Epochs:  40 | Domain: c | loss: 1.2917 | Acc: 64.15%
2024-04-14 14:15 before_fed Round:   9 | Epochs:  45 | Domain: v | loss: 1.5046 | Acc: 75.00%
2024-04-14 14:15 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.3652 | Acc: 70.05%
2024-04-14 14:16 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.3976 | Acc: 73.48%
2024-04-14 14:16 after_fed Round:   9 | Epochs:  45 | Domain: v | loss: 1.4131 | Acc: 70.34%
2024-04-14 14:16 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.8374 | Acc: 68.98%
2024-04-14 14:16 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.3343 | Acc: 72.61%
2024-04-14 14:16 test_domain Round:   9 | Epochs:  45 | Domain: c | loss: 0.9388 | Acc: 73.82%
2024-04-14 14:16 before_fed Round:  10 | Epochs:  50 | Domain: v | loss: 1.2992 | Acc: 78.39%
2024-04-14 14:17 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.3599 | Acc: 66.84%
2024-04-14 14:18 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.4020 | Acc: 73.91%
2024-04-14 14:18 after_fed Round:  10 | Epochs:  50 | Domain: v | loss: 1.3177 | Acc: 72.03%
2024-04-14 14:18 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.7345 | Acc: 68.45%
2024-04-14 14:18 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.2942 | Acc: 75.22%
2024-04-14 14:18 Model saved! Best Val Acc: 72.13%
2024-04-14 14:18 test_domain Round:  10 | Epochs:  50 | Domain: c | loss: 0.8058 | Acc: 77.59%
