2024-04-16 13:44 comment: RSC, ccnet(3heads), pacs on c
2024-04-16 13:45 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.1499 | Acc: 97.60%
2024-04-16 13:45 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.3261 | Acc: 87.80%
2024-04-16 13:46 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.2402 | Acc: 84.48%
2024-04-16 13:46 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.4492 | Acc: 95.81%
2024-04-16 13:46 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 2.9358 | Acc: 77.56%
2024-04-16 13:46 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.1197 | Acc: 83.72%
2024-04-16 13:46 Model saved! Best Val Acc: 84.71%
2024-04-16 13:46 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 6.5029 | Acc: 63.01%
2024-04-16 13:47 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.3149 | Acc: 97.01%
2024-04-16 13:47 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.3983 | Acc: 88.78%
2024-04-16 13:48 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.5645 | Acc: 86.51%
2024-04-16 13:48 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.6549 | Acc: 95.21%
2024-04-16 13:48 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 3.5978 | Acc: 78.54%
2024-04-16 13:48 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.1986 | Acc: 87.28%
2024-04-16 13:48 Model saved! Best Val Acc: 86.67%
2024-04-16 13:48 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 6.5730 | Acc: 66.08%
2024-04-16 13:49 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.3723 | Acc: 96.41%
2024-04-16 13:49 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 2.0868 | Acc: 86.83%
2024-04-16 13:50 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 2.1854 | Acc: 85.50%
