2024-04-16 14:07 comment: RSC, ccnet(3heads), pacs on s
2024-04-16 14:08 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.3291 | Acc: 95.81%
2024-04-16 14:08 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.0232 | Acc: 88.78%
2024-04-16 14:09 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.5222 | Acc: 86.38%
2024-04-16 14:09 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.5071 | Acc: 95.81%
2024-04-16 14:09 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 2.0765 | Acc: 84.39%
2024-04-16 14:09 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 2.7308 | Acc: 76.17%
2024-04-16 14:09 Model saved! Best Val Acc: 84.36%
2024-04-16 14:09 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 3.5832 | Acc: 64.93%
2024-04-16 14:10 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.4279 | Acc: 95.81%
2024-04-16 14:10 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.6495 | Acc: 89.27%
2024-04-16 14:11 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 2.1392 | Acc: 84.68%
2024-04-16 14:11 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.7118 | Acc: 95.21%
2024-04-16 14:11 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 2.7496 | Acc: 84.39%
2024-04-16 14:11 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 2.7207 | Acc: 80.43%
2024-04-16 14:11 Model saved! Best Val Acc: 85.84%
2024-04-16 14:11 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 5.2353 | Acc: 65.46%
2024-04-16 14:12 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.5046 | Acc: 97.60%
2024-04-16 14:12 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 2.0072 | Acc: 88.78%
2024-04-16 14:13 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 2.6358 | Acc: 82.55%
2024-04-16 14:13 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.7497 | Acc: 97.01%
2024-04-16 14:13 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 3.2792 | Acc: 82.93%
2024-04-16 14:13 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 2.8528 | Acc: 81.70%
2024-04-16 14:13 Model saved! Best Val Acc: 86.33%
2024-04-16 14:13 test_domain Round:   2 | Epochs:  10 | Domain: s | loss: 5.8750 | Acc: 65.77%
2024-04-16 14:13 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.7366 | Acc: 97.01%
2024-04-16 14:14 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 2.5361 | Acc: 89.27%
2024-04-16 14:14 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 2.3555 | Acc: 84.26%
2024-04-16 14:14 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.8279 | Acc: 97.60%
2024-04-16 14:15 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 3.5636 | Acc: 84.39%
2024-04-16 14:15 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 3.0741 | Acc: 81.28%
2024-04-16 14:15 Model saved! Best Val Acc: 86.83%
