2024-04-16 13:21 comment: RSC, ccnet(3heads), pacs on a
2024-04-16 13:21 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.2033 | Acc: 97.01%
2024-04-16 13:22 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.5291 | Acc: 87.23%
2024-04-16 13:23 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.1295 | Acc: 86.01%
2024-04-16 13:23 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.6343 | Acc: 91.62%
2024-04-16 13:23 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 3.9199 | Acc: 69.79%
2024-04-16 13:23 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.2903 | Acc: 82.19%
2024-04-16 13:23 Model saved! Best Val Acc: 80.51%
2024-04-16 13:23 test_domain Round:   0 | Epochs:   0 | Domain: a | loss: 3.5222 | Acc: 74.46%
2024-04-16 13:24 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.3854 | Acc: 96.41%
2024-04-16 13:24 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.8315 | Acc: 83.83%
2024-04-16 13:25 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.6627 | Acc: 87.02%
2024-04-16 13:25 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.8513 | Acc: 92.22%
2024-04-16 13:25 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 4.2462 | Acc: 76.60%
2024-04-16 13:25 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.7939 | Acc: 82.70%
2024-04-16 13:25 Model saved! Best Val Acc: 82.90%
2024-04-16 13:25 test_domain Round:   1 | Epochs:   5 | Domain: a | loss: 4.6737 | Acc: 75.15%
2024-04-16 13:26 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.3543 | Acc: 96.41%
2024-04-16 13:26 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 2.5505 | Acc: 85.11%
2024-04-16 13:27 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 2.2063 | Acc: 86.26%
2024-04-16 13:27 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.7949 | Acc: 93.41%
2024-04-16 13:27 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 4.4636 | Acc: 75.74%
2024-04-16 13:27 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.9382 | Acc: 83.97%
2024-04-16 13:27 Model saved! Best Val Acc: 83.53%
2024-04-16 13:27 test_domain Round:   2 | Epochs:  10 | Domain: a | loss: 5.2634 | Acc: 75.44%
2024-04-16 13:28 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.4871 | Acc: 96.41%
