2024-04-16 12:54 comment: RSC, mobilenetv1 pretrained, pacs on p
2024-04-16 12:55 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.3769 | Acc: 78.05%
2024-04-16 12:56 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.4061 | Acc: 89.36%
2024-04-16 12:56 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.2393 | Acc: 93.13%
2024-04-16 12:56 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 4.3647 | Acc: 27.80%
2024-04-16 12:56 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.7936 | Acc: 57.87%
2024-04-16 12:56 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.5076 | Acc: 83.97%
2024-04-16 12:56 Model saved! Best Val Acc: 62.79%
2024-04-16 12:56 test_domain Round:   0 | Epochs:   0 | Domain: p | loss: 3.6278 | Acc: 37.60%
2024-04-16 12:57 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.7259 | Acc: 80.49%
2024-04-16 12:57 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.4544 | Acc: 89.79%
2024-04-16 12:58 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.4383 | Acc: 90.08%
2024-04-16 12:58 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 2.6486 | Acc: 39.51%
2024-04-16 12:58 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.3088 | Acc: 68.51%
2024-04-16 12:58 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.3465 | Acc: 88.04%
2024-04-16 12:58 Model saved! Best Val Acc: 70.60%
2024-04-16 12:58 test_domain Round:   1 | Epochs:   5 | Domain: p | loss: 2.6142 | Acc: 40.66%
2024-04-16 12:58 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.9082 | Acc: 80.98%
2024-04-16 12:59 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.4409 | Acc: 85.96%
2024-04-16 13:00 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.3994 | Acc: 89.31%
2024-04-16 13:00 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 1.4692 | Acc: 65.37%
2024-04-16 13:00 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.3803 | Acc: 70.21%
2024-04-16 13:00 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.4986 | Acc: 88.30%
2024-04-16 13:00 Model saved! Best Val Acc: 77.56%
2024-04-16 13:00 test_domain Round:   2 | Epochs:  10 | Domain: p | loss: 1.4056 | Acc: 65.99%
2024-04-16 13:00 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.8611 | Acc: 83.41%
2024-04-16 13:01 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.5752 | Acc: 89.79%
2024-04-16 13:02 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.4645 | Acc: 91.86%
