2024-04-16 13:55 comment: RSC, mobilenetv1 pretrained, pacs on s
2024-04-16 13:55 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.8045 | Acc: 87.43%
2024-04-16 13:56 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.5082 | Acc: 74.15%
2024-04-16 13:56 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.4241 | Acc: 87.66%
2024-04-16 13:56 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.8117 | Acc: 82.63%
2024-04-16 13:56 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 2.3811 | Acc: 57.56%
2024-04-16 13:56 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.5887 | Acc: 68.94%
2024-04-16 13:56 Model saved! Best Val Acc: 68.87%
2024-04-16 13:56 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 4.3553 | Acc: 40.32%
2024-04-16 13:57 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0956 | Acc: 96.41%
2024-04-16 13:57 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.9861 | Acc: 79.02%
2024-04-16 13:58 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.3828 | Acc: 90.21%
2024-04-16 13:58 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.4290 | Acc: 89.22%
2024-04-16 13:58 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.1155 | Acc: 73.66%
2024-04-16 13:58 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.6218 | Acc: 80.43%
2024-04-16 13:58 Model saved! Best Val Acc: 80.56%
2024-04-16 13:58 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 1.5436 | Acc: 57.98%
2024-04-16 13:59 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.1063 | Acc: 95.21%
2024-04-16 13:59 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.8452 | Acc: 85.37%
2024-04-16 14:00 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.4294 | Acc: 89.79%
2024-04-16 14:00 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.5180 | Acc: 85.63%
2024-04-16 14:00 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 1.5390 | Acc: 66.83%
2024-04-16 14:00 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.5810 | Acc: 86.38%
2024-04-16 14:00 test_domain Round:   2 | Epochs:  10 | Domain: s | loss: 1.1422 | Acc: 66.66%
2024-04-16 14:00 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.1009 | Acc: 98.20%
2024-04-16 14:01 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.9915 | Acc: 81.95%
2024-04-16 14:01 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.3392 | Acc: 91.06%
2024-04-16 14:01 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.3486 | Acc: 92.22%
2024-04-16 14:02 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 1.1839 | Acc: 70.73%
2024-04-16 14:02 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.6524 | Acc: 82.13%
2024-04-16 14:02 Model saved! Best Val Acc: 81.06%
2024-04-16 14:02 test_domain Round:   3 | Epochs:  15 | Domain: s | loss: 1.2210 | Acc: 67.96%
2024-04-16 14:02 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0542 | Acc: 98.80%
2024-04-16 14:03 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 1.0536 | Acc: 84.39%
2024-04-16 14:03 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.3130 | Acc: 93.62%
2024-04-16 14:03 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.3353 | Acc: 94.61%
