2024-04-16 13:35 comment: RSC, mobilenetv1 pretrained, pacs on c
2024-04-16 13:36 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.8284 | Acc: 88.02%
2024-04-16 13:36 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.1703 | Acc: 79.51%
2024-04-16 13:37 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.3263 | Acc: 88.30%
2024-04-16 13:37 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 2.0949 | Acc: 51.50%
2024-04-16 13:37 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 2.9771 | Acc: 42.93%
2024-04-16 13:37 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.5440 | Acc: 82.70%
2024-04-16 13:37 Model saved! Best Val Acc: 65.23%
2024-04-16 13:37 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 2.8765 | Acc: 43.64%
2024-04-16 13:37 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0694 | Acc: 97.01%
2024-04-16 13:38 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.6445 | Acc: 83.41%
2024-04-16 13:39 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.5087 | Acc: 88.30%
2024-04-16 13:39 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.2179 | Acc: 68.86%
2024-04-16 13:39 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 4.3598 | Acc: 25.37%
2024-04-16 13:39 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.5880 | Acc: 85.24%
2024-04-16 13:39 Model saved! Best Val Acc: 65.63%
2024-04-16 13:39 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 1.8431 | Acc: 55.42%
2024-04-16 13:39 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.1175 | Acc: 95.81%
2024-04-16 13:40 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.7996 | Acc: 82.93%
2024-04-16 13:40 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.3574 | Acc: 92.11%
