2024-04-16 15:12 comment: RSC, ccnet(3heads), vlcs on v
2024-04-16 15:13 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 2.8789 | Acc: 68.98%
2024-04-16 15:13 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2684 | Acc: 99.00%
2024-04-16 15:14 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 2.0632 | Acc: 71.74%
2024-04-16 15:14 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 4.6044 | Acc: 62.03%
2024-04-16 15:14 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.7082 | Acc: 98.00%
2024-04-16 15:14 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 2.4500 | Acc: 66.52%
2024-04-16 15:14 Model saved! Best Val Acc: 70.95%
2024-04-16 15:14 test_domain Round:   0 | Epochs:   0 | Domain: v | loss: 4.1275 | Acc: 64.46%
2024-04-16 15:14 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 3.3287 | Acc: 70.05%
2024-04-16 15:15 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.2271 | Acc: 99.00%
2024-04-16 15:15 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 3.0207 | Acc: 76.96%
2024-04-16 15:15 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 6.0526 | Acc: 59.89%
2024-04-16 15:15 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.6099 | Acc: 99.00%
2024-04-16 15:15 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 2.3596 | Acc: 75.22%
2024-04-16 15:15 Model saved! Best Val Acc: 74.25%
2024-04-16 15:15 test_domain Round:   1 | Epochs:   5 | Domain: v | loss: 5.3250 | Acc: 65.45%
2024-04-16 15:16 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 4.1054 | Acc: 68.45%
2024-04-16 15:16 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1701 | Acc: 99.00%
2024-04-16 15:17 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 3.9407 | Acc: 71.74%
2024-04-16 15:17 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 6.7113 | Acc: 61.50%
2024-04-16 15:17 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.6133 | Acc: 99.00%
2024-04-16 15:17 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 2.6250 | Acc: 76.09%
2024-04-16 15:17 Model saved! Best Val Acc: 75.22%
2024-04-16 15:17 test_domain Round:   2 | Epochs:  10 | Domain: v | loss: 5.8554 | Acc: 66.24%
2024-04-16 15:17 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 4.8159 | Acc: 68.98%
2024-04-16 15:18 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.1490 | Acc: 99.00%
2024-04-16 15:18 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 4.4813 | Acc: 73.04%
2024-04-16 15:18 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 6.1176 | Acc: 65.24%
2024-04-16 15:18 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.6069 | Acc: 99.00%
2024-04-16 15:18 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 3.0319 | Acc: 76.52%
2024-04-16 15:18 Model saved! Best Val Acc: 76.77%
2024-04-16 15:19 test_domain Round:   3 | Epochs:  15 | Domain: v | loss: 6.0612 | Acc: 66.04%
2024-04-16 15:19 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 5.4669 | Acc: 68.98%
2024-04-16 15:20 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.2069 | Acc: 99.00%
2024-04-16 15:20 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 5.8561 | Acc: 71.74%
2024-04-16 15:21 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 7.8077 | Acc: 61.50%
2024-04-16 15:21 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.5465 | Acc: 99.00%
