2024-04-16 15:33 comment: RSC, ccnet(3heads), vlcs on l
2024-04-16 15:35 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 2.0143 | Acc: 77.54%
2024-04-16 15:35 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2465 | Acc: 99.00%
2024-04-16 15:36 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 2.1532 | Acc: 73.48%
2024-04-16 15:36 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 2.8224 | Acc: 75.85%
2024-04-16 15:36 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6146 | Acc: 97.00%
2024-04-16 15:36 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 2.4173 | Acc: 71.30%
2024-04-16 15:36 Model saved! Best Val Acc: 77.70%
2024-04-16 15:36 test_domain Round:   0 | Epochs:   0 | Domain: l | loss: 6.2264 | Acc: 53.83%
2024-04-16 15:37 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 3.4043 | Acc: 76.69%
2024-04-16 15:37 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1363 | Acc: 99.00%
2024-04-16 15:38 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 3.2999 | Acc: 73.91%
2024-04-16 15:38 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 3.5864 | Acc: 73.73%
2024-04-16 15:38 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.3626 | Acc: 97.00%
2024-04-16 15:38 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 3.3982 | Acc: 72.17%
2024-04-16 15:38 test_domain Round:   1 | Epochs:   5 | Domain: l | loss: 9.9120 | Acc: 52.45%
2024-04-16 15:39 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 3.6356 | Acc: 77.54%
2024-04-16 15:40 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0007 | Acc: 100.00%
2024-04-16 15:41 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 3.9914 | Acc: 74.35%
2024-04-16 15:41 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 3.5908 | Acc: 76.27%
2024-04-16 15:41 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.4187 | Acc: 98.00%
2024-04-16 15:41 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 4.0195 | Acc: 72.61%
2024-04-16 15:41 Model saved! Best Val Acc: 78.59%
2024-04-16 15:41 test_domain Round:   2 | Epochs:  10 | Domain: l | loss: 12.0988 | Acc: 53.07%
2024-04-16 15:42 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 4.2437 | Acc: 77.97%
2024-04-16 15:42 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0383 | Acc: 99.00%
2024-04-16 15:43 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 5.3735 | Acc: 73.91%
2024-04-16 15:43 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 3.9555 | Acc: 78.81%
2024-04-16 15:43 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.5162 | Acc: 98.00%
2024-04-16 15:43 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 4.6778 | Acc: 72.17%
2024-04-16 15:43 Model saved! Best Val Acc: 79.47%
2024-04-16 15:43 test_domain Round:   3 | Epochs:  15 | Domain: l | loss: 12.9614 | Acc: 53.58%
2024-04-16 15:44 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 4.6970 | Acc: 77.97%
2024-04-16 15:44 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0261 | Acc: 99.00%
2024-04-16 15:45 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 5.4385 | Acc: 73.91%
2024-04-16 15:45 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 4.4638 | Acc: 77.12%
2024-04-16 15:45 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.6314 | Acc: 98.00%
2024-04-16 15:45 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 5.1560 | Acc: 73.91%
2024-04-16 15:45 test_domain Round:   4 | Epochs:  20 | Domain: l | loss: 14.6302 | Acc: 53.83%
2024-04-16 15:46 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 5.5605 | Acc: 76.27%
2024-04-16 15:46 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0438 | Acc: 99.00%
2024-04-16 15:47 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 6.7783 | Acc: 72.17%
2024-04-16 15:47 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 5.3014 | Acc: 75.00%
2024-04-16 15:47 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.6587 | Acc: 98.00%
2024-04-16 15:47 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 5.9589 | Acc: 72.61%
2024-04-16 15:47 test_domain Round:   5 | Epochs:  25 | Domain: l | loss: 15.8122 | Acc: 54.96%
2024-04-16 15:48 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 5.4444 | Acc: 76.69%
2024-04-16 15:48 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.1865 | Acc: 99.00%
