2024-04-16 16:13 comment: RSC, ccnet(3heads), vlcs on c
2024-04-16 16:14 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 2.2340 | Acc: 77.12%
2024-04-16 16:15 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 2.3030 | Acc: 67.38%
2024-04-16 16:15 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 2.0914 | Acc: 74.35%
2024-04-16 16:15 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 2.2999 | Acc: 76.69%
2024-04-16 16:16 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 4.1860 | Acc: 64.17%
2024-04-16 16:16 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.7146 | Acc: 75.22%
2024-04-16 16:16 Model saved! Best Val Acc: 72.60%
2024-04-16 16:16 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 2.1206 | Acc: 68.87%
2024-04-16 16:16 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 3.4876 | Acc: 75.00%
2024-04-16 16:17 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 3.1340 | Acc: 72.73%
2024-04-16 16:18 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 2.7585 | Acc: 74.78%
2024-04-16 16:18 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 3.0185 | Acc: 74.58%
2024-04-16 16:18 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 4.3015 | Acc: 65.78%
2024-04-16 16:18 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 2.0918 | Acc: 77.39%
2024-04-16 16:18 Model saved! Best Val Acc: 73.06%
2024-04-16 16:18 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 0.9912 | Acc: 93.16%
2024-04-16 16:19 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 4.0058 | Acc: 75.85%
2024-04-16 16:19 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 4.0966 | Acc: 69.52%
2024-04-16 16:20 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 3.6395 | Acc: 73.04%
2024-04-16 16:20 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 3.2741 | Acc: 77.97%
2024-04-16 16:20 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 5.4119 | Acc: 65.24%
2024-04-16 16:20 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 2.5677 | Acc: 77.83%
2024-04-16 16:20 Model saved! Best Val Acc: 74.29%
2024-04-16 16:20 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 1.0480 | Acc: 94.10%
2024-04-16 16:21 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 4.4502 | Acc: 77.12%
2024-04-16 16:22 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 4.5687 | Acc: 68.98%
2024-04-16 16:23 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 4.1294 | Acc: 74.78%
2024-04-16 16:23 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 3.5194 | Acc: 77.97%
2024-04-16 16:23 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 6.1382 | Acc: 62.03%
2024-04-16 16:23 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 2.9986 | Acc: 77.39%
2024-04-16 16:23 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 0.9334 | Acc: 93.87%
2024-04-16 16:24 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 5.2291 | Acc: 75.42%
2024-04-16 16:24 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 5.0808 | Acc: 68.45%
2024-04-16 16:25 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 4.4614 | Acc: 73.04%
2024-04-16 16:25 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 3.9969 | Acc: 78.39%
2024-04-16 16:25 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 6.5436 | Acc: 63.10%
2024-04-16 16:25 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 3.4246 | Acc: 75.22%
2024-04-16 16:25 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 0.9264 | Acc: 94.58%
2024-04-16 16:26 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 5.2592 | Acc: 77.97%
2024-04-16 16:27 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 5.5337 | Acc: 70.05%
2024-04-16 16:28 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 4.8346 | Acc: 73.91%
2024-04-16 16:28 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 4.1100 | Acc: 78.39%
2024-04-16 16:28 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 8.4339 | Acc: 62.03%
2024-04-16 16:28 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 3.8405 | Acc: 74.35%
2024-04-16 16:28 test_domain Round:   5 | Epochs:  25 | Domain: c | loss: 0.9797 | Acc: 94.10%
2024-04-16 16:29 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 5.3160 | Acc: 75.42%
2024-04-16 16:29 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 6.0429 | Acc: 66.84%
2024-04-16 16:30 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 5.4447 | Acc: 73.91%
2024-04-16 16:30 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 4.5686 | Acc: 78.39%
