2024-04-16 16:40 comment: RSC, ccnet(3heads), vlcs on s
2024-04-16 16:41 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 2.3554 | Acc: 74.15%
2024-04-16 16:42 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 2.0443 | Acc: 71.66%
2024-04-16 16:42 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2580 | Acc: 99.00%
2024-04-16 16:42 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 2.2842 | Acc: 75.85%
2024-04-16 16:42 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 4.7969 | Acc: 56.68%
2024-04-16 16:42 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.0233 | Acc: 99.00%
2024-04-16 16:42 Model saved! Best Val Acc: 73.41%
2024-04-16 16:42 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 2.5428 | Acc: 65.38%
2024-04-16 16:43 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 3.4360 | Acc: 75.85%
2024-04-16 16:44 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 2.9696 | Acc: 70.59%
2024-04-16 16:44 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0267 | Acc: 99.00%
2024-04-16 16:44 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 2.7597 | Acc: 78.81%
2024-04-16 16:44 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 5.5370 | Acc: 57.75%
2024-04-16 16:44 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0001 | Acc: 100.00%
2024-04-16 16:44 Model saved! Best Val Acc: 75.32%
2024-04-16 16:44 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 3.2080 | Acc: 66.80%
2024-04-16 16:45 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 3.9955 | Acc: 77.12%
2024-04-16 16:46 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 3.9074 | Acc: 68.45%
2024-04-16 16:46 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0001 | Acc: 100.00%
