2024-04-16 13:53 comment: RSC, mobilenetv1 pretrained, vlcs on s
2024-04-16 13:54 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.8253 | Acc: 77.54%
2024-04-16 13:55 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.4665 | Acc: 68.45%
2024-04-16 13:55 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.2473 | Acc: 83.00%
2024-04-16 13:55 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.9463 | Acc: 79.66%
2024-04-16 13:55 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 3.0586 | Acc: 63.10%
2024-04-16 13:55 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6336 | Acc: 89.00%
2024-04-16 13:55 Model saved! Best Val Acc: 75.53%
2024-04-16 13:55 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 1.6506 | Acc: 62.23%
2024-04-16 13:56 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.1165 | Acc: 79.24%
2024-04-16 13:56 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.3404 | Acc: 72.19%
2024-04-16 13:56 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0370 | Acc: 99.00%
2024-04-16 13:56 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.5682 | Acc: 62.71%
2024-04-16 13:56 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.8615 | Acc: 61.50%
2024-04-16 13:56 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.2919 | Acc: 92.00%
2024-04-16 13:56 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 2.0228 | Acc: 53.91%
2024-04-16 13:57 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.4537 | Acc: 78.39%
2024-04-16 13:57 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.7184 | Acc: 74.33%
2024-04-16 13:58 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0072 | Acc: 100.00%
2024-04-16 13:58 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.0726 | Acc: 66.53%
2024-04-16 13:58 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.5838 | Acc: 58.29%
2024-04-16 13:58 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.2230 | Acc: 93.00%
2024-04-16 13:58 test_domain Round:   2 | Epochs:  10 | Domain: s | loss: 1.9508 | Acc: 50.05%
2024-04-16 13:58 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.3517 | Acc: 74.15%
2024-04-16 13:59 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.8798 | Acc: 69.52%
2024-04-16 13:59 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0028 | Acc: 100.00%
2024-04-16 13:59 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.2418 | Acc: 66.10%
2024-04-16 13:59 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 2.7326 | Acc: 54.55%
2024-04-16 13:59 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.3278 | Acc: 91.00%
2024-04-16 13:59 test_domain Round:   3 | Epochs:  15 | Domain: s | loss: 2.2894 | Acc: 44.16%
2024-04-16 14:00 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 1.4124 | Acc: 77.12%
2024-04-16 14:00 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.6831 | Acc: 74.33%
2024-04-16 14:01 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0002 | Acc: 100.00%
2024-04-16 14:01 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 1.8164 | Acc: 58.47%
2024-04-16 14:01 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.9985 | Acc: 61.50%
2024-04-16 14:01 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.3629 | Acc: 94.00%
2024-04-16 14:01 test_domain Round:   4 | Epochs:  20 | Domain: s | loss: 2.5434 | Acc: 47.82%
2024-04-16 14:01 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 1.3346 | Acc: 78.39%
2024-04-16 14:02 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 1.5931 | Acc: 75.40%
2024-04-16 14:02 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0160 | Acc: 99.00%
2024-04-16 14:02 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 1.5493 | Acc: 64.83%
2024-04-16 14:02 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 1.7474 | Acc: 66.31%
2024-04-16 14:02 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.3516 | Acc: 92.00%
2024-04-16 14:02 test_domain Round:   5 | Epochs:  25 | Domain: s | loss: 2.0655 | Acc: 51.98%
2024-04-16 14:03 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 1.5398 | Acc: 75.85%
2024-04-16 14:03 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 1.9941 | Acc: 71.12%
2024-04-16 14:04 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.0035 | Acc: 100.00%
2024-04-16 14:04 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 1.6179 | Acc: 69.07%
2024-04-16 14:04 after_fed Round:   6 | Epochs:  30 | Domain: l | loss: 2.4976 | Acc: 61.50%
2024-04-16 14:04 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.2227 | Acc: 95.00%
2024-04-16 14:04 test_domain Round:   6 | Epochs:  30 | Domain: s | loss: 1.9579 | Acc: 57.06%
2024-04-16 14:04 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 1.6271 | Acc: 77.97%
2024-04-16 14:05 before_fed Round:   7 | Epochs:  35 | Domain: l | loss: 2.0495 | Acc: 74.33%
2024-04-16 14:05 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.0408 | Acc: 99.00%
2024-04-16 14:05 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 1.3473 | Acc: 71.61%
2024-04-16 14:05 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 2.0140 | Acc: 66.31%
2024-04-16 14:05 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.1858 | Acc: 97.00%
2024-04-16 14:05 test_domain Round:   7 | Epochs:  35 | Domain: s | loss: 1.9475 | Acc: 58.98%
2024-04-16 14:06 before_fed Round:   8 | Epochs:  40 | Domain: v | loss: 1.3556 | Acc: 81.78%
2024-04-16 14:06 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.8918 | Acc: 72.19%
2024-04-16 14:06 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.0921 | Acc: 98.00%
2024-04-16 14:06 after_fed Round:   8 | Epochs:  40 | Domain: v | loss: 1.3240 | Acc: 80.08%
2024-04-16 14:06 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 2.4461 | Acc: 67.91%
2024-04-16 14:06 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.1028 | Acc: 98.00%
2024-04-16 14:06 Model saved! Best Val Acc: 79.14%
2024-04-16 14:06 test_domain Round:   8 | Epochs:  40 | Domain: s | loss: 2.0626 | Acc: 67.01%
2024-04-16 14:07 before_fed Round:   9 | Epochs:  45 | Domain: v | loss: 1.2001 | Acc: 81.36%
2024-04-16 14:07 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.7137 | Acc: 71.12%
2024-04-16 14:08 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.0390 | Acc: 98.00%
2024-04-16 14:08 after_fed Round:   9 | Epochs:  45 | Domain: v | loss: 1.1454 | Acc: 80.08%
2024-04-16 14:08 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 2.7558 | Acc: 67.91%
2024-04-16 14:08 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.0795 | Acc: 97.00%
2024-04-16 14:08 test_domain Round:   9 | Epochs:  45 | Domain: s | loss: 2.0235 | Acc: 66.09%
2024-04-16 14:08 before_fed Round:  10 | Epochs:  50 | Domain: v | loss: 1.2088 | Acc: 81.78%
2024-04-16 14:09 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.8826 | Acc: 72.73%
2024-04-16 14:09 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.0147 | Acc: 99.00%
2024-04-16 14:09 after_fed Round:  10 | Epochs:  50 | Domain: v | loss: 1.1670 | Acc: 80.93%
2024-04-16 14:09 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 2.4294 | Acc: 67.91%
2024-04-16 14:09 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 0.0660 | Acc: 97.00%
2024-04-16 14:09 Model saved! Best Val Acc: 79.34%
2024-04-16 14:09 test_domain Round:  10 | Epochs:  50 | Domain: s | loss: 2.0841 | Acc: 68.02%
