2024-04-16 13:01 comment: RSC, mobilenetv1 pretrained, vlcs on v
2024-04-16 13:02 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.4811 | Acc: 65.24%
2024-04-16 13:02 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.3220 | Acc: 82.00%
2024-04-16 13:02 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.5774 | Acc: 71.74%
2024-04-16 13:03 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 5.9811 | Acc: 54.55%
2024-04-16 13:03 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.0633 | Acc: 81.00%
2024-04-16 13:03 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.7484 | Acc: 69.13%
2024-04-16 13:03 Model saved! Best Val Acc: 66.14%
2024-04-16 13:03 test_domain Round:   0 | Epochs:   0 | Domain: v | loss: 2.1177 | Acc: 57.26%
2024-04-16 13:03 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.4747 | Acc: 68.45%
2024-04-16 13:03 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0150 | Acc: 100.00%
2024-04-16 13:04 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.6752 | Acc: 76.52%
2024-04-16 13:04 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 2.3212 | Acc: 57.22%
2024-04-16 13:04 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.5364 | Acc: 83.00%
2024-04-16 13:04 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.9740 | Acc: 48.26%
2024-04-16 13:04 test_domain Round:   1 | Epochs:   5 | Domain: v | loss: 1.8466 | Acc: 53.11%
2024-04-16 13:05 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.4306 | Acc: 73.26%
2024-04-16 13:05 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0145 | Acc: 99.00%
2024-04-16 13:06 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 2.0946 | Acc: 76.09%
