2024-04-16 13:17 comment: RSC, mobilenetv1 pretrained, vlcs on l
2024-04-16 13:18 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.9922 | Acc: 79.66%
2024-04-16 13:19 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.2479 | Acc: 83.00%
2024-04-16 13:19 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.7339 | Acc: 75.22%
2024-04-16 13:19 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.1231 | Acc: 79.66%
2024-04-16 13:19 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.5413 | Acc: 94.00%
2024-04-16 13:19 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 2.1238 | Acc: 66.52%
2024-04-16 13:19 Model saved! Best Val Acc: 76.83%
2024-04-16 13:19 test_domain Round:   0 | Epochs:   0 | Domain: l | loss: 8.2358 | Acc: 53.32%
2024-04-16 13:20 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.0921 | Acc: 77.97%
2024-04-16 13:20 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0344 | Acc: 98.00%
2024-04-16 13:21 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.5060 | Acc: 72.17%
2024-04-16 13:21 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.2120 | Acc: 68.22%
2024-04-16 13:21 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1071 | Acc: 96.00%
2024-04-16 13:21 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.4083 | Acc: 65.65%
2024-04-16 13:21 test_domain Round:   1 | Epochs:   5 | Domain: l | loss: 5.5703 | Acc: 55.33%
2024-04-16 13:21 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.2252 | Acc: 79.66%
2024-04-16 13:22 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0084 | Acc: 100.00%
