2024-04-16 13:35 comment: RSC, mobilenetv1 pretrained, vlcs on c
2024-04-16 13:36 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.9828 | Acc: 75.85%
2024-04-16 13:36 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.2482 | Acc: 68.45%
2024-04-16 13:37 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.3862 | Acc: 74.35%
2024-04-16 13:37 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.9231 | Acc: 76.27%
2024-04-16 13:37 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 4.9783 | Acc: 58.82%
2024-04-16 13:37 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.3510 | Acc: 70.87%
2024-04-16 13:37 Model saved! Best Val Acc: 69.39%
2024-04-16 13:37 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 0.6399 | Acc: 85.61%
2024-04-16 13:38 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.0679 | Acc: 74.58%
2024-04-16 13:38 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.3827 | Acc: 72.73%
2024-04-16 13:39 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.6837 | Acc: 78.26%
2024-04-16 13:39 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.1262 | Acc: 72.03%
2024-04-16 13:39 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.6596 | Acc: 69.52%
2024-04-16 13:39 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.9984 | Acc: 69.57%
2024-04-16 13:39 Model saved! Best Val Acc: 70.45%
2024-04-16 13:39 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 0.4535 | Acc: 88.44%
2024-04-16 13:39 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.4288 | Acc: 78.39%
2024-04-16 13:40 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.5264 | Acc: 74.87%
2024-04-16 13:40 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 2.1116 | Acc: 76.09%
2024-04-16 13:40 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.2124 | Acc: 72.03%
2024-04-16 13:40 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 3.3222 | Acc: 54.01%
2024-04-16 13:40 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.3191 | Acc: 67.39%
2024-04-16 13:40 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 0.3182 | Acc: 90.57%
2024-04-16 13:41 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.4175 | Acc: 77.12%
