2024-03-17 16:44 comment: fed avg, agglomerator(no-pre), pacs on a
2024-03-17 16:45 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.2021 | Acc: 55.09%
2024-03-17 16:46 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.2220 | Acc: 53.19%
2024-03-17 16:47 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.2799 | Acc: 51.15%
2024-03-17 16:47 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.9976 | Acc: 19.76%
2024-03-17 16:47 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.8086 | Acc: 33.19%
2024-03-17 16:47 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.3768 | Acc: 42.75%
2024-03-17 16:47 Model saved! Best Val Acc: 163.47%
2024-03-17 16:47 test_domain Round:   0 | Epochs:   0 | Domain: a | loss: 2.0829 | Acc: 17.24%
2024-03-17 16:48 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.0922 | Acc: 61.68%
2024-03-17 16:49 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.1524 | Acc: 57.87%
2024-03-17 16:50 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.1015 | Acc: 58.78%
2024-03-17 16:50 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.7077 | Acc: 41.92%
2024-03-17 16:50 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.6700 | Acc: 40.85%
2024-03-17 16:50 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.2925 | Acc: 52.42%
2024-03-17 16:50 Model saved! Best Val Acc: 149.12%
2024-03-17 16:50 test_domain Round:   1 | Epochs:   5 | Domain: a | loss: 2.1482 | Acc: 22.80%
2024-03-17 16:51 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.0745 | Acc: 59.28%
2024-03-17 16:52 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.1146 | Acc: 60.85%
2024-03-17 16:53 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.9257 | Acc: 64.12%
2024-03-17 16:53 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.6556 | Acc: 46.11%
2024-03-17 16:53 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.6157 | Acc: 44.68%
2024-03-17 16:54 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.1904 | Acc: 54.96%
2024-03-17 16:54 Model saved! Best Val Acc: 141.37%
2024-03-17 16:54 test_domain Round:   2 | Epochs:  10 | Domain: a | loss: 2.2770 | Acc: 24.85%
2024-03-17 16:54 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 1.0336 | Acc: 61.08%
2024-03-17 16:55 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.0473 | Acc: 65.11%
2024-03-17 16:57 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.8957 | Acc: 67.94%
2024-03-17 16:57 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 1.6257 | Acc: 47.90%
2024-03-17 16:57 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.7110 | Acc: 47.66%
2024-03-17 16:57 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.2277 | Acc: 57.76%
2024-03-17 16:57 test_domain Round:   3 | Epochs:  15 | Domain: a | loss: 2.4236 | Acc: 24.46%
2024-03-17 16:57 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 1.0166 | Acc: 62.87%
2024-03-17 16:58 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.0604 | Acc: 64.68%
2024-03-17 17:00 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.7935 | Acc: 70.74%
2024-03-17 17:00 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 1.5553 | Acc: 53.89%
2024-03-17 17:00 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.6855 | Acc: 50.21%
2024-03-17 17:00 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 1.0283 | Acc: 59.80%
2024-03-17 17:00 Model saved! Best Val Acc: 133.30%
2024-03-17 17:00 test_domain Round:   4 | Epochs:  20 | Domain: a | loss: 2.4604 | Acc: 26.07%
2024-03-17 17:01 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 1.0185 | Acc: 62.28%
2024-03-17 17:02 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.0476 | Acc: 62.55%
2024-03-17 17:03 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.7859 | Acc: 71.50%
2024-03-17 17:03 after_fed Round:   5 | Epochs:  25 | Domain: p | loss: 1.5177 | Acc: 54.49%
2024-03-17 17:03 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.6432 | Acc: 51.49%
2024-03-17 17:03 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.9327 | Acc: 63.61%
2024-03-17 17:03 Model saved! Best Val Acc: 126.53%
2024-03-17 17:03 test_domain Round:   5 | Epochs:  25 | Domain: a | loss: 2.5343 | Acc: 25.88%
2024-03-17 17:04 before_fed Round:   6 | Epochs:  30 | Domain: p | loss: 1.0034 | Acc: 65.87%
