2024-03-17 18:59 comment: fed avg, agglomerator(no-pre), pacs on c
2024-03-17 19:00 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.2644 | Acc: 55.69%
2024-03-17 19:01 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.6694 | Acc: 36.59%
2024-03-17 19:03 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.2228 | Acc: 53.69%
2024-03-17 19:03 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.8907 | Acc: 25.15%
2024-03-17 19:03 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 2.0630 | Acc: 16.59%
2024-03-17 19:04 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.2878 | Acc: 48.09%
2024-03-17 19:04 Model saved! Best Val Acc: 162.71%
2024-03-17 19:04 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 2.2104 | Acc: 22.95%
2024-03-17 19:05 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.1257 | Acc: 55.69%
2024-03-17 19:06 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.6354 | Acc: 38.05%
2024-03-17 19:08 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.0434 | Acc: 61.07%
2024-03-17 19:08 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.5489 | Acc: 44.31%
2024-03-17 19:08 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.9797 | Acc: 23.41%
2024-03-17 19:08 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.1601 | Acc: 53.69%
2024-03-17 19:08 Model saved! Best Val Acc: 146.45%
2024-03-17 19:08 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 2.2417 | Acc: 26.49%
2024-03-17 19:09 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.0763 | Acc: 61.68%
2024-03-17 19:10 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 1.5948 | Acc: 42.44%
2024-03-17 19:12 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.9307 | Acc: 65.90%
2024-03-17 19:12 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.4624 | Acc: 50.90%
2024-03-17 19:13 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 1.9687 | Acc: 24.39%
2024-03-17 19:13 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.0393 | Acc: 58.78%
2024-03-17 19:13 Model saved! Best Val Acc: 138.06%
2024-03-17 19:13 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 2.4928 | Acc: 29.95%
2024-03-17 19:14 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 1.0497 | Acc: 64.07%
2024-03-17 19:15 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 1.6084 | Acc: 40.49%
2024-03-17 19:17 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.8146 | Acc: 71.50%
2024-03-17 19:17 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 1.3834 | Acc: 52.69%
2024-03-17 19:17 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 1.9356 | Acc: 25.37%
2024-03-17 19:17 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.9550 | Acc: 64.38%
2024-03-17 19:17 Model saved! Best Val Acc: 131.12%
2024-03-17 19:17 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 2.6245 | Acc: 29.99%
2024-03-17 19:18 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.9982 | Acc: 65.87%
2024-03-17 19:19 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 1.6281 | Acc: 42.44%
2024-03-17 19:22 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.7942 | Acc: 71.50%
2024-03-17 19:22 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 1.4268 | Acc: 56.89%
2024-03-17 19:22 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 2.1022 | Acc: 30.24%
2024-03-17 19:22 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.9211 | Acc: 64.89%
2024-03-17 19:22 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 2.7765 | Acc: 29.35%
2024-03-17 19:23 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.9835 | Acc: 66.47%
