2024-03-16 02:41 comment: fed avg, ccnet(3heads), pacs on p
2024-03-16 02:42 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.6830 | Acc: 75.61%
2024-03-16 02:42 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6252 | Acc: 76.60%
2024-03-16 02:43 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.5843 | Acc: 80.41%
2024-03-16 02:43 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.9587 | Acc: 71.22%
2024-03-16 02:43 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.9152 | Acc: 65.11%
2024-03-16 02:43 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.6138 | Acc: 77.35%
2024-03-16 02:43 Model saved! Best Val Acc: 78.36%
2024-03-16 02:43 test_domain Round:   0 | Epochs:   0 | Domain: p | loss: 0.7272 | Acc: 81.80%
2024-03-16 02:44 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.5097 | Acc: 80.49%
2024-03-16 02:45 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.5224 | Acc: 80.43%
2024-03-16 02:45 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.3916 | Acc: 87.28%
2024-03-16 02:45 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.7910 | Acc: 74.15%
2024-03-16 02:45 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.8822 | Acc: 69.36%
2024-03-16 02:45 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.4934 | Acc: 81.68%
2024-03-16 02:45 Model saved! Best Val Acc: 67.62%
2024-03-16 02:45 test_domain Round:   1 | Epochs:   5 | Domain: p | loss: 0.4624 | Acc: 87.19%
2024-03-16 02:46 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.4659 | Acc: 82.93%
2024-03-16 02:47 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.4870 | Acc: 82.98%
2024-03-16 02:47 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.3403 | Acc: 89.06%
2024-03-16 02:47 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.7178 | Acc: 76.59%
2024-03-16 02:47 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.8329 | Acc: 71.91%
2024-03-16 02:47 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.4313 | Acc: 85.50%
2024-03-16 02:47 Model saved! Best Val Acc: 61.49%
2024-03-16 02:48 test_domain Round:   2 | Epochs:  10 | Domain: p | loss: 0.3804 | Acc: 89.10%
2024-03-16 02:48 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.4404 | Acc: 83.41%
2024-03-16 02:49 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.4749 | Acc: 84.26%
2024-03-16 02:49 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.3260 | Acc: 88.30%
2024-03-16 02:49 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.6560 | Acc: 79.02%
