2024-03-16 04:04 comment: fed avg, ccnet(3heads), pacs on a
2024-03-16 04:05 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.2420 | Acc: 94.61%
2024-03-16 04:05 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6201 | Acc: 77.45%
2024-03-16 04:06 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.5926 | Acc: 79.90%
2024-03-16 04:06 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.5606 | Acc: 86.23%
2024-03-16 04:06 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.8869 | Acc: 65.53%
2024-03-16 04:06 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.6202 | Acc: 76.84%
2024-03-16 04:06 Model saved! Best Val Acc: 68.64%
2024-03-16 04:06 test_domain Round:   0 | Epochs:   0 | Domain: a | loss: 1.0881 | Acc: 66.21%
2024-03-16 04:07 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.1223 | Acc: 95.21%
2024-03-16 04:07 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.5126 | Acc: 80.43%
2024-03-16 04:08 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.3999 | Acc: 87.28%
2024-03-16 04:08 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.2990 | Acc: 92.22%
2024-03-16 04:08 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.8340 | Acc: 70.21%
2024-03-16 04:08 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.5099 | Acc: 80.92%
2024-03-16 04:08 Model saved! Best Val Acc: 56.12%
2024-03-16 04:08 test_domain Round:   1 | Epochs:   5 | Domain: a | loss: 0.9723 | Acc: 68.70%
2024-03-16 04:09 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.1072 | Acc: 95.81%
2024-03-16 04:09 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.4886 | Acc: 83.40%
2024-03-16 04:10 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.3460 | Acc: 88.80%
2024-03-16 04:10 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.2370 | Acc: 91.02%
2024-03-16 04:10 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.7840 | Acc: 71.91%
2024-03-16 04:10 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.4462 | Acc: 86.01%
2024-03-16 04:10 Model saved! Best Val Acc: 50.19%
2024-03-16 04:10 test_domain Round:   2 | Epochs:  10 | Domain: a | loss: 0.9862 | Acc: 70.12%
2024-03-16 04:11 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0967 | Acc: 95.81%
2024-03-16 04:11 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.4745 | Acc: 85.11%
2024-03-16 04:12 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.3353 | Acc: 88.55%
2024-03-16 04:12 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.2108 | Acc: 92.22%
2024-03-16 04:12 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.7075 | Acc: 74.89%
2024-03-16 04:12 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.4243 | Acc: 86.26%
2024-03-16 04:12 Model saved! Best Val Acc: 46.30%
2024-03-16 04:12 test_domain Round:   3 | Epochs:  15 | Domain: a | loss: 0.9836 | Acc: 71.00%
2024-03-16 04:13 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0854 | Acc: 95.81%
2024-03-16 04:13 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.4623 | Acc: 85.53%
2024-03-16 04:14 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.3282 | Acc: 89.06%
