2024-03-16 05:27 comment: fed avg, ccnet(3heads), pacs on c
2024-03-16 05:28 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.2264 | Acc: 94.01%
2024-03-16 05:28 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.6941 | Acc: 78.54%
2024-03-16 05:29 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.5792 | Acc: 79.90%
2024-03-16 05:29 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.4422 | Acc: 90.42%
2024-03-16 05:29 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.9566 | Acc: 71.22%
2024-03-16 05:29 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.5806 | Acc: 77.10%
2024-03-16 05:29 Model saved! Best Val Acc: 65.11%
2024-03-16 05:29 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 1.0688 | Acc: 60.67%
2024-03-16 05:30 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.1112 | Acc: 95.81%
2024-03-16 05:30 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.5300 | Acc: 80.49%
2024-03-16 05:31 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.3998 | Acc: 86.77%
2024-03-16 05:31 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.2132 | Acc: 95.81%
2024-03-16 05:31 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.7522 | Acc: 73.66%
2024-03-16 05:31 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.4568 | Acc: 83.97%
2024-03-16 05:31 Model saved! Best Val Acc: 48.27%
2024-03-16 05:31 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 1.1654 | Acc: 61.69%
2024-03-16 05:32 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0912 | Acc: 95.81%
2024-03-16 05:32 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.4721 | Acc: 81.46%
2024-03-16 05:33 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.3515 | Acc: 88.80%
2024-03-16 05:33 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.1517 | Acc: 95.21%
2024-03-16 05:33 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.6579 | Acc: 77.07%
2024-03-16 05:33 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.3988 | Acc: 87.28%
2024-03-16 05:33 Model saved! Best Val Acc: 41.42%
2024-03-16 05:33 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 1.2217 | Acc: 61.95%
2024-03-16 05:34 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0739 | Acc: 97.01%
2024-03-16 05:34 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.4451 | Acc: 83.90%
2024-03-16 05:35 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.3303 | Acc: 89.57%
2024-03-16 05:35 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.1285 | Acc: 95.21%
2024-03-16 05:35 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.6135 | Acc: 79.51%
2024-03-16 05:35 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.3757 | Acc: 87.79%
2024-03-16 05:35 Model saved! Best Val Acc: 38.54%
2024-03-16 05:35 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 1.2699 | Acc: 62.41%
2024-03-16 05:36 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0659 | Acc: 98.20%
2024-03-16 05:36 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.4234 | Acc: 84.88%
2024-03-16 05:37 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.3318 | Acc: 90.08%
2024-03-16 05:37 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.1213 | Acc: 95.81%
2024-03-16 05:37 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.5846 | Acc: 81.95%
2024-03-16 05:37 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.3673 | Acc: 87.79%
2024-03-16 05:37 Model saved! Best Val Acc: 37.18%
2024-03-16 05:37 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 1.3143 | Acc: 62.54%
2024-03-16 05:38 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.0702 | Acc: 98.20%
2024-03-16 05:38 before_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.4116 | Acc: 85.37%
2024-03-16 05:39 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.3360 | Acc: 90.33%
2024-03-16 05:39 after_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.1164 | Acc: 96.41%
2024-03-16 05:39 after_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.5729 | Acc: 82.44%
2024-03-16 05:39 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.3655 | Acc: 88.80%
2024-03-16 05:39 Model saved! Best Val Acc: 36.67%
2024-03-16 05:39 test_domain Round:   5 | Epochs:  25 | Domain: c | loss: 1.3559 | Acc: 63.35%
2024-03-16 05:40 before_fed Round:   6 | Epochs:  30 | Domain: p | loss: 0.0658 | Acc: 98.80%
2024-03-16 05:40 before_fed Round:   6 | Epochs:  30 | Domain: a | loss: 0.4086 | Acc: 86.34%
2024-03-16 05:41 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.3413 | Acc: 89.82%
2024-03-16 05:41 after_fed Round:   6 | Epochs:  30 | Domain: p | loss: 0.1174 | Acc: 96.41%
2024-03-16 05:41 after_fed Round:   6 | Epochs:  30 | Domain: a | loss: 0.5746 | Acc: 81.46%
2024-03-16 05:41 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.3657 | Acc: 89.06%
2024-03-16 05:41 test_domain Round:   6 | Epochs:  30 | Domain: c | loss: 1.4008 | Acc: 63.78%
2024-03-16 05:42 before_fed Round:   7 | Epochs:  35 | Domain: p | loss: 0.0662 | Acc: 98.80%
2024-03-16 05:43 before_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.4065 | Acc: 86.83%
2024-03-16 05:43 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.3514 | Acc: 89.82%
2024-03-16 05:43 after_fed Round:   7 | Epochs:  35 | Domain: p | loss: 0.1246 | Acc: 96.41%
2024-03-16 05:43 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.5704 | Acc: 82.93%
2024-03-16 05:43 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.3658 | Acc: 89.31%
2024-03-16 05:43 test_domain Round:   7 | Epochs:  35 | Domain: c | loss: 1.4473 | Acc: 64.29%
2024-03-16 05:44 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0715 | Acc: 98.80%
2024-03-16 05:44 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.4163 | Acc: 85.85%
2024-03-16 05:45 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.3779 | Acc: 89.31%
2024-03-16 05:45 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.1296 | Acc: 96.41%
2024-03-16 05:45 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.5632 | Acc: 83.90%
2024-03-16 05:45 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.3831 | Acc: 88.80%
2024-03-16 05:45 test_domain Round:   8 | Epochs:  40 | Domain: c | loss: 1.5013 | Acc: 64.63%
2024-03-16 05:46 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0758 | Acc: 98.80%
2024-03-16 05:46 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.4227 | Acc: 85.37%
2024-03-16 05:47 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.3992 | Acc: 89.31%
2024-03-16 05:47 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.1363 | Acc: 96.41%
2024-03-16 05:47 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.5646 | Acc: 84.39%
2024-03-16 05:47 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.4012 | Acc: 88.80%
2024-03-16 05:47 test_domain Round:   9 | Epochs:  45 | Domain: c | loss: 1.5674 | Acc: 64.85%
2024-03-16 05:48 before_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.0816 | Acc: 98.80%
2024-03-16 05:48 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.4379 | Acc: 85.37%
2024-03-16 05:49 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.3950 | Acc: 90.59%
2024-03-16 05:49 after_fed Round:  10 | Epochs:  50 | Domain: p | loss: 0.1431 | Acc: 96.41%
2024-03-16 05:49 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 0.5683 | Acc: 84.39%
2024-03-16 05:49 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.4054 | Acc: 89.57%
2024-03-16 05:49 test_domain Round:  10 | Epochs:  50 | Domain: c | loss: 1.6590 | Acc: 65.10%
