2024-03-17 16:22 comment: fed avg, agglomerator(finetunestep fixed), pacs on p
2024-03-17 16:23 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.6962 | Acc: 40.00%
2024-03-17 16:24 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.3707 | Acc: 54.47%
2024-03-17 16:25 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.1343 | Acc: 58.27%
2024-03-17 16:25 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 2.1210 | Acc: 28.29%
2024-03-17 16:25 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.6260 | Acc: 39.15%
2024-03-17 16:25 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.3339 | Acc: 48.60%
2024-03-17 16:25 Model saved! Best Val Acc: 160.99%
2024-03-17 16:25 test_domain Round:   0 | Epochs:   0 | Domain: p | loss: 2.1224 | Acc: 27.60%
2024-03-17 16:26 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.5834 | Acc: 45.37%
2024-03-17 16:27 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.2842 | Acc: 58.72%
2024-03-17 16:29 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.9786 | Acc: 66.16%
2024-03-17 16:29 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 3.1582 | Acc: 24.88%
2024-03-17 16:29 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.7895 | Acc: 41.28%
2024-03-17 16:29 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.0896 | Acc: 56.49%
2024-03-17 16:29 test_domain Round:   1 | Epochs:   5 | Domain: p | loss: 3.1678 | Acc: 27.78%
2024-03-17 16:30 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 1.6005 | Acc: 42.44%
2024-03-17 16:30 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.2060 | Acc: 61.28%
2024-03-17 16:32 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.8599 | Acc: 72.77%
2024-03-17 16:32 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 2.9261 | Acc: 27.80%
2024-03-17 16:32 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.5171 | Acc: 47.66%
2024-03-17 16:32 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.1025 | Acc: 57.25%
2024-03-17 16:32 test_domain Round:   2 | Epochs:  10 | Domain: p | loss: 2.9253 | Acc: 30.84%
2024-03-17 16:33 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 1.6439 | Acc: 42.44%
2024-03-17 16:34 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.1697 | Acc: 64.68%
2024-03-17 16:35 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.8767 | Acc: 72.77%
2024-03-17 16:35 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 3.0677 | Acc: 27.32%
2024-03-17 16:35 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.7182 | Acc: 44.68%
2024-03-17 16:35 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.1581 | Acc: 58.02%
2024-03-17 16:35 test_domain Round:   3 | Epochs:  15 | Domain: p | loss: 3.0210 | Acc: 28.80%
2024-03-17 16:36 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 1.7136 | Acc: 42.44%
2024-03-17 16:37 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.1759 | Acc: 61.70%
2024-03-17 16:38 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.8463 | Acc: 72.52%
2024-03-17 16:38 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 3.1629 | Acc: 28.78%
2024-03-17 16:38 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.5759 | Acc: 46.38%
2024-03-17 16:38 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 1.0129 | Acc: 63.61%
2024-03-17 16:39 test_domain Round:   4 | Epochs:  20 | Domain: p | loss: 3.1635 | Acc: 30.84%
2024-03-17 16:39 before_fed Round:   5 | Epochs:  25 | Domain: a | loss: 1.7521 | Acc: 42.93%
2024-03-17 16:40 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.1694 | Acc: 66.38%
2024-03-17 16:42 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.9646 | Acc: 70.48%
2024-03-17 16:42 after_fed Round:   5 | Epochs:  25 | Domain: a | loss: 3.0679 | Acc: 28.78%
2024-03-17 16:42 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.6764 | Acc: 47.23%
2024-03-17 16:42 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 1.0679 | Acc: 64.89%
2024-03-17 16:42 test_domain Round:   5 | Epochs:  25 | Domain: p | loss: 3.1432 | Acc: 29.46%
2024-03-17 16:43 before_fed Round:   6 | Epochs:  30 | Domain: a | loss: 1.7929 | Acc: 41.46%
2024-03-17 16:44 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 1.1592 | Acc: 61.28%
2024-03-17 16:45 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.9329 | Acc: 72.26%
2024-03-17 16:45 after_fed Round:   6 | Epochs:  30 | Domain: a | loss: 3.2442 | Acc: 29.76%
2024-03-17 16:45 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 1.6171 | Acc: 48.94%
2024-03-17 16:45 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.9760 | Acc: 66.92%
2024-03-17 16:45 test_domain Round:   6 | Epochs:  30 | Domain: p | loss: 3.4119 | Acc: 27.84%
2024-03-17 16:46 before_fed Round:   7 | Epochs:  35 | Domain: a | loss: 1.8339 | Acc: 42.44%
2024-03-17 16:47 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.1130 | Acc: 68.09%
2024-03-17 16:48 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.0418 | Acc: 70.48%
2024-03-17 16:48 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 3.0936 | Acc: 30.73%
2024-03-17 16:48 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.8060 | Acc: 49.36%
2024-03-17 16:48 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.0195 | Acc: 68.96%
2024-03-17 16:48 test_domain Round:   7 | Epochs:  35 | Domain: p | loss: 3.2244 | Acc: 31.50%
2024-03-17 16:49 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 1.8600 | Acc: 40.98%
2024-03-17 16:50 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.1398 | Acc: 65.53%
2024-03-17 16:52 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.8795 | Acc: 75.57%
2024-03-17 16:52 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 3.1514 | Acc: 30.73%
2024-03-17 16:52 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.6201 | Acc: 51.91%
2024-03-17 16:52 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 1.0190 | Acc: 69.72%
2024-03-17 16:52 test_domain Round:   8 | Epochs:  40 | Domain: p | loss: 3.3840 | Acc: 29.34%
2024-03-17 16:53 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 1.8934 | Acc: 42.44%
2024-03-17 16:54 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.0940 | Acc: 66.81%
2024-03-17 16:55 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.9693 | Acc: 71.76%
2024-03-17 16:55 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 3.1422 | Acc: 30.24%
2024-03-17 16:55 after_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.7816 | Acc: 49.79%
2024-03-17 16:55 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 1.0846 | Acc: 67.68%
2024-03-17 16:55 test_domain Round:   9 | Epochs:  45 | Domain: p | loss: 3.3032 | Acc: 31.32%
2024-03-17 16:56 before_fed Round:  10 | Epochs:  50 | Domain: a | loss: 1.9420 | Acc: 42.44%
2024-03-17 16:57 before_fed Round:  10 | Epochs:  50 | Domain: c | loss: 1.1897 | Acc: 70.21%
2024-03-17 16:58 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.9548 | Acc: 74.05%
2024-03-17 16:58 after_fed Round:  10 | Epochs:  50 | Domain: a | loss: 3.0680 | Acc: 30.73%
2024-03-17 16:58 after_fed Round:  10 | Epochs:  50 | Domain: c | loss: 1.6204 | Acc: 53.62%
2024-03-17 16:58 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 1.0499 | Acc: 68.96%
2024-03-17 16:58 test_domain Round:  10 | Epochs:  50 | Domain: p | loss: 3.3742 | Acc: 30.48%
