2024-03-17 18:37 comment: fed avg, agglomerator(finetunestep fixed), pacs on a
2024-03-17 18:38 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.1764 | Acc: 59.28%
2024-03-17 18:39 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.2564 | Acc: 56.17%
2024-03-17 18:40 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.0677 | Acc: 62.85%
2024-03-17 18:40 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 2.5326 | Acc: 14.37%
2024-03-17 18:40 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.8868 | Acc: 36.17%
2024-03-17 18:40 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.4489 | Acc: 50.64%
2024-03-17 18:40 Model saved! Best Val Acc: 180.60%
2024-03-17 18:41 test_domain Round:   0 | Epochs:   0 | Domain: a | loss: 2.6627 | Acc: 16.11%
2024-03-17 18:41 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.1589 | Acc: 56.89%
2024-03-17 18:42 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.3269 | Acc: 56.17%
2024-03-17 18:43 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.9582 | Acc: 67.43%
2024-03-17 18:43 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 2.1075 | Acc: 28.74%
2024-03-17 18:44 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.8213 | Acc: 41.70%
2024-03-17 18:44 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.2569 | Acc: 54.96%
2024-03-17 18:44 Model saved! Best Val Acc: 160.23%
2024-03-17 18:44 test_domain Round:   1 | Epochs:   5 | Domain: a | loss: 2.6653 | Acc: 20.46%
2024-03-17 18:44 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.1157 | Acc: 59.28%
2024-03-17 18:45 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.2374 | Acc: 57.87%
2024-03-17 18:47 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.0115 | Acc: 67.43%
2024-03-17 18:47 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.9314 | Acc: 39.52%
2024-03-17 18:47 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.8214 | Acc: 41.70%
2024-03-17 18:47 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.1985 | Acc: 60.31%
2024-03-17 18:47 Model saved! Best Val Acc: 153.64%
2024-03-17 18:47 test_domain Round:   2 | Epochs:  10 | Domain: a | loss: 2.7792 | Acc: 20.70%
2024-03-17 18:48 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 1.1632 | Acc: 64.07%
2024-03-17 18:48 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.2418 | Acc: 58.30%
2024-03-17 18:50 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.9023 | Acc: 70.74%
2024-03-17 18:50 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 1.7594 | Acc: 50.30%
2024-03-17 18:50 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.7054 | Acc: 47.66%
2024-03-17 18:50 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.0102 | Acc: 64.38%
2024-03-17 18:50 Model saved! Best Val Acc: 137.29%
2024-03-17 18:50 test_domain Round:   3 | Epochs:  15 | Domain: a | loss: 2.8583 | Acc: 23.00%
2024-03-17 18:51 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 1.1627 | Acc: 65.27%
2024-03-17 18:52 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.2472 | Acc: 59.57%
2024-03-17 18:53 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.8331 | Acc: 73.54%
2024-03-17 18:53 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 1.7164 | Acc: 52.69%
2024-03-17 18:53 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.8204 | Acc: 45.96%
2024-03-17 18:53 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 1.0659 | Acc: 65.65%
2024-03-17 18:53 test_domain Round:   4 | Epochs:  20 | Domain: a | loss: 2.9004 | Acc: 22.66%
2024-03-17 18:54 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 1.1448 | Acc: 66.47%
2024-03-17 18:55 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.3090 | Acc: 60.43%
2024-03-17 18:56 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.8721 | Acc: 74.81%
2024-03-17 18:56 after_fed Round:   5 | Epochs:  25 | Domain: p | loss: 1.7989 | Acc: 53.29%
2024-03-17 18:56 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.8845 | Acc: 45.11%
2024-03-17 18:56 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.9561 | Acc: 68.45%
2024-03-17 18:56 test_domain Round:   5 | Epochs:  25 | Domain: a | loss: 3.1735 | Acc: 22.27%
2024-03-17 18:57 before_fed Round:   6 | Epochs:  30 | Domain: p | loss: 1.2074 | Acc: 65.27%
2024-03-17 18:58 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 1.3152 | Acc: 63.83%
2024-03-17 18:59 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.9405 | Acc: 74.30%
2024-03-17 18:59 after_fed Round:   6 | Epochs:  30 | Domain: p | loss: 1.8769 | Acc: 49.70%
2024-03-17 18:59 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 1.9281 | Acc: 45.53%
2024-03-17 18:59 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 1.1752 | Acc: 65.65%
2024-03-17 19:00 test_domain Round:   6 | Epochs:  30 | Domain: a | loss: 3.3092 | Acc: 21.97%
2024-03-17 19:00 before_fed Round:   7 | Epochs:  35 | Domain: p | loss: 1.2247 | Acc: 65.27%
2024-03-17 19:01 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.3895 | Acc: 60.00%
2024-03-17 19:03 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.9806 | Acc: 73.79%
2024-03-17 19:03 after_fed Round:   7 | Epochs:  35 | Domain: p | loss: 1.8602 | Acc: 52.69%
2024-03-17 19:03 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.9434 | Acc: 47.66%
2024-03-17 19:03 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.9296 | Acc: 71.25%
2024-03-17 19:03 test_domain Round:   7 | Epochs:  35 | Domain: a | loss: 3.3544 | Acc: 22.90%
2024-03-17 19:03 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 1.2688 | Acc: 63.47%
2024-03-17 19:04 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.4489 | Acc: 58.72%
2024-03-17 19:06 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.9258 | Acc: 76.84%
