2024-03-17 20:48 comment: fed avg, agglomerator(finetunestep fixed), pacs on c
2024-03-17 20:49 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.1165 | Acc: 55.09%
2024-03-17 20:50 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.7090 | Acc: 40.00%
2024-03-17 20:51 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.0286 | Acc: 62.60%
2024-03-17 20:51 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 2.2362 | Acc: 34.73%
2024-03-17 20:51 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 2.5757 | Acc: 20.00%
2024-03-17 20:52 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.2281 | Acc: 51.15%
2024-03-17 20:52 Model saved! Best Val Acc: 180.92%
2024-03-17 20:52 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 2.2223 | Acc: 23.68%
2024-03-17 20:52 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.9909 | Acc: 61.08%
2024-03-17 20:53 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.6474 | Acc: 41.46%
2024-03-17 20:55 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.8824 | Acc: 68.45%
2024-03-17 20:55 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 2.6657 | Acc: 46.11%
2024-03-17 20:55 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 3.4013 | Acc: 27.32%
2024-03-17 20:55 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.1645 | Acc: 55.73%
2024-03-17 20:55 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 2.7798 | Acc: 24.83%
2024-03-17 20:55 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.9364 | Acc: 64.07%
2024-03-17 20:56 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 1.6015 | Acc: 44.39%
2024-03-17 20:58 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.9647 | Acc: 69.72%
2024-03-17 20:58 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 2.1689 | Acc: 51.50%
2024-03-17 20:58 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 2.9823 | Acc: 26.34%
2024-03-17 20:58 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.5680 | Acc: 52.93%
2024-03-17 20:58 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 2.5544 | Acc: 27.13%
2024-03-17 20:59 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.9377 | Acc: 66.47%
