2024-03-17 22:57 comment: fed avg, agglomerator(finetunestep fixed), pacs on s
2024-03-17 22:58 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.1554 | Acc: 61.68%
2024-03-17 22:59 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.6238 | Acc: 40.49%
2024-03-17 23:00 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.4918 | Acc: 50.64%
2024-03-17 23:00 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 1.7397 | Acc: 45.51%
2024-03-17 23:00 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 1.8220 | Acc: 34.15%
2024-03-17 23:00 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.5117 | Acc: 43.83%
2024-03-17 23:00 Model saved! Best Val Acc: 167.93%
2024-03-17 23:00 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 1.7446 | Acc: 28.20%
2024-03-17 23:01 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.0349 | Acc: 63.47%
2024-03-17 23:02 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.5921 | Acc: 44.88%
2024-03-17 23:03 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.3982 | Acc: 55.32%
2024-03-17 23:03 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 1.4505 | Acc: 52.10%
2024-03-17 23:03 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 1.8258 | Acc: 35.12%
2024-03-17 23:03 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.5733 | Acc: 45.96%
2024-03-17 23:03 Model saved! Best Val Acc: 162.48%
2024-03-17 23:03 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 2.0582 | Acc: 26.78%
2024-03-17 23:04 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.9688 | Acc: 66.47%
2024-03-17 23:05 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 1.6358 | Acc: 41.46%
2024-03-17 23:06 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.3363 | Acc: 57.45%
2024-03-17 23:06 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 1.3904 | Acc: 56.89%
2024-03-17 23:06 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 1.9647 | Acc: 33.66%
2024-03-17 23:06 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.5290 | Acc: 48.09%
2024-03-17 23:06 test_domain Round:   2 | Epochs:  10 | Domain: s | loss: 2.3751 | Acc: 27.56%
2024-03-17 23:07 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.9503 | Acc: 68.26%
2024-03-17 23:08 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 1.6398 | Acc: 41.46%
2024-03-17 23:08 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.2518 | Acc: 59.57%
2024-03-17 23:08 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 1.3569 | Acc: 60.48%
2024-03-17 23:09 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 1.9108 | Acc: 35.12%
2024-03-17 23:09 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.3588 | Acc: 54.89%
2024-03-17 23:09 Model saved! Best Val Acc: 154.48%
2024-03-17 23:09 test_domain Round:   3 | Epochs:  15 | Domain: s | loss: 2.1896 | Acc: 29.42%
2024-03-17 23:09 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.9485 | Acc: 69.46%
2024-03-17 23:10 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 1.6539 | Acc: 43.90%
2024-03-17 23:11 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.2967 | Acc: 61.70%
2024-03-17 23:11 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 1.3684 | Acc: 58.08%
2024-03-17 23:11 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 2.0735 | Acc: 34.15%
2024-03-17 23:11 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.4110 | Acc: 55.74%
2024-03-17 23:12 test_domain Round:   4 | Epochs:  20 | Domain: s | loss: 2.4776 | Acc: 29.78%
2024-03-17 23:12 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.9332 | Acc: 67.66%
2024-03-17 23:13 before_fed Round:   5 | Epochs:  25 | Domain: a | loss: 1.6773 | Acc: 43.41%
2024-03-17 23:14 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.2474 | Acc: 61.28%
2024-03-17 23:14 after_fed Round:   5 | Epochs:  25 | Domain: p | loss: 1.3553 | Acc: 61.08%
2024-03-17 23:14 after_fed Round:   5 | Epochs:  25 | Domain: a | loss: 2.1038 | Acc: 35.12%
2024-03-17 23:14 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 1.4037 | Acc: 54.47%
2024-03-17 23:14 test_domain Round:   5 | Epochs:  25 | Domain: s | loss: 2.2886 | Acc: 32.45%
2024-03-17 23:15 before_fed Round:   6 | Epochs:  30 | Domain: p | loss: 0.9461 | Acc: 67.66%
2024-03-17 23:16 before_fed Round:   6 | Epochs:  30 | Domain: a | loss: 1.7208 | Acc: 41.95%
2024-03-17 23:17 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 1.2382 | Acc: 61.70%
2024-03-17 23:17 after_fed Round:   6 | Epochs:  30 | Domain: p | loss: 1.2741 | Acc: 62.28%
2024-03-17 23:17 after_fed Round:   6 | Epochs:  30 | Domain: a | loss: 1.9758 | Acc: 36.59%
2024-03-17 23:17 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 1.3287 | Acc: 57.45%
2024-03-17 23:17 Model saved! Best Val Acc: 153.23%
2024-03-17 23:17 test_domain Round:   6 | Epochs:  30 | Domain: s | loss: 2.2915 | Acc: 30.36%
2024-03-17 23:18 before_fed Round:   7 | Epochs:  35 | Domain: p | loss: 0.8792 | Acc: 73.65%
2024-03-17 23:19 before_fed Round:   7 | Epochs:  35 | Domain: a | loss: 1.7465 | Acc: 42.93%
2024-03-17 23:20 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.2838 | Acc: 63.83%
2024-03-17 23:20 after_fed Round:   7 | Epochs:  35 | Domain: p | loss: 1.2186 | Acc: 64.67%
2024-03-17 23:20 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 2.0355 | Acc: 37.56%
2024-03-17 23:20 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 1.3753 | Acc: 55.74%
2024-03-17 23:20 test_domain Round:   7 | Epochs:  35 | Domain: s | loss: 2.5491 | Acc: 30.49%
2024-03-17 23:21 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.8838 | Acc: 70.66%
2024-03-17 23:22 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 1.7245 | Acc: 42.44%
2024-03-17 23:22 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.2202 | Acc: 65.11%
2024-03-17 23:22 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 1.2401 | Acc: 61.08%
2024-03-17 23:23 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 1.9925 | Acc: 38.54%
2024-03-17 23:23 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 1.2915 | Acc: 60.43%
2024-03-17 23:23 Model saved! Best Val Acc: 151.41%
2024-03-17 23:23 test_domain Round:   8 | Epochs:  40 | Domain: s | loss: 2.5736 | Acc: 28.86%
2024-03-17 23:24 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.8512 | Acc: 73.05%
2024-03-17 23:24 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 1.7342 | Acc: 46.34%
2024-03-17 23:25 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 1.2520 | Acc: 62.55%
2024-03-17 23:25 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 1.2972 | Acc: 62.28%
2024-03-17 23:25 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 2.3249 | Acc: 34.63%
