2024-03-19 15:35 comment: fed avg, agglomerator(no-pre fixed), vlcs on l
2024-03-19 15:36 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.4963 | Acc: 42.80%
2024-03-19 15:37 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.7654 | Acc: 66.00%
2024-03-19 15:38 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.0795 | Acc: 55.65%
2024-03-19 15:38 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.8978 | Acc: 42.80%
2024-03-19 15:38 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.4655 | Acc: 66.00%
2024-03-19 15:38 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.1581 | Acc: 49.13%
2024-03-19 15:38 Model saved! Best Val Acc: 152.13%
2024-03-19 15:38 test_domain Round:   0 | Epochs:   0 | Domain: l | loss: 1.1534 | Acc: 48.81%
2024-03-19 15:39 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.4982 | Acc: 44.49%
2024-03-19 15:39 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.6227 | Acc: 75.00%
2024-03-19 15:40 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.0736 | Acc: 58.26%
2024-03-19 15:40 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.8428 | Acc: 42.80%
2024-03-19 15:40 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.2489 | Acc: 69.00%
2024-03-19 15:40 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.1533 | Acc: 49.13%
2024-03-19 15:40 Model saved! Best Val Acc: 145.84%
2024-03-19 15:40 test_domain Round:   1 | Epochs:   5 | Domain: l | loss: 1.1693 | Acc: 51.57%
2024-03-19 15:41 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.4888 | Acc: 45.76%
2024-03-19 15:42 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.5085 | Acc: 84.00%
2024-03-19 15:43 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.0840 | Acc: 58.26%
2024-03-19 15:43 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.7856 | Acc: 41.53%
2024-03-19 15:43 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.2042 | Acc: 70.00%
2024-03-19 15:43 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.0798 | Acc: 56.96%
2024-03-19 15:43 Model saved! Best Val Acc: 139.68%
2024-03-19 15:43 test_domain Round:   2 | Epochs:  10 | Domain: l | loss: 1.2012 | Acc: 50.82%
2024-03-19 15:44 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.4712 | Acc: 45.34%
2024-03-19 15:44 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.5321 | Acc: 80.00%
2024-03-19 15:45 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.0941 | Acc: 56.09%
2024-03-19 15:45 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.8394 | Acc: 44.07%
2024-03-19 15:45 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.2147 | Acc: 68.00%
2024-03-19 15:45 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.1172 | Acc: 55.22%
2024-03-19 15:45 test_domain Round:   3 | Epochs:  15 | Domain: l | loss: 1.2150 | Acc: 52.32%
2024-03-19 15:46 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 1.4586 | Acc: 47.46%
2024-03-19 15:47 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.5025 | Acc: 82.00%
2024-03-19 15:48 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 1.0952 | Acc: 56.09%
2024-03-19 15:48 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 1.8231 | Acc: 45.34%
