2024-03-19 16:04 comment: fed avg, agglomerator(no-pre fixed), vlcs on c
2024-03-19 16:05 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.4303 | Acc: 41.95%
2024-03-19 16:06 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.0799 | Acc: 51.34%
2024-03-19 16:07 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.1382 | Acc: 54.35%
2024-03-19 16:07 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 2.0719 | Acc: 42.37%
2024-03-19 16:07 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.2344 | Acc: 46.52%
2024-03-19 16:07 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.4280 | Acc: 47.39%
2024-03-19 16:07 Model saved! Best Val Acc: 160.62%
2024-03-19 16:07 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 1.7855 | Acc: 60.85%
2024-03-19 16:08 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.4282 | Acc: 46.61%
2024-03-19 16:09 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.0401 | Acc: 53.48%
2024-03-19 16:10 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.0941 | Acc: 50.87%
2024-03-19 16:10 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.7430 | Acc: 42.37%
2024-03-19 16:10 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.1383 | Acc: 48.13%
2024-03-19 16:10 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.2269 | Acc: 48.70%
2024-03-19 16:10 Model saved! Best Val Acc: 138.87%
2024-03-19 16:10 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 1.4036 | Acc: 63.21%
2024-03-19 16:11 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.4527 | Acc: 45.34%
2024-03-19 16:12 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.0097 | Acc: 56.68%
2024-03-19 16:12 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.0624 | Acc: 53.91%
2024-03-19 16:13 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.8078 | Acc: 41.95%
2024-03-19 16:13 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.1122 | Acc: 49.20%
2024-03-19 16:13 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.2953 | Acc: 49.57%
2024-03-19 16:13 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 1.4933 | Acc: 64.15%
2024-03-19 16:14 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.4546 | Acc: 45.76%
2024-03-19 16:14 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 0.9951 | Acc: 56.68%
2024-03-19 16:15 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.0149 | Acc: 59.13%
2024-03-19 16:15 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 1.8641 | Acc: 44.07%
2024-03-19 16:15 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.1254 | Acc: 52.41%
2024-03-19 16:15 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 1.3457 | Acc: 49.57%
2024-03-19 16:15 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 1.4380 | Acc: 63.92%
2024-03-19 16:16 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 1.4784 | Acc: 44.49%
2024-03-19 16:17 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 0.9924 | Acc: 56.68%
2024-03-19 16:18 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 1.0263 | Acc: 56.52%
2024-03-19 16:18 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 1.7335 | Acc: 41.95%
2024-03-19 16:18 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.0520 | Acc: 55.08%
2024-03-19 16:18 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 1.1948 | Acc: 52.61%
2024-03-19 16:18 Model saved! Best Val Acc: 134.93%
2024-03-19 16:18 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 1.4028 | Acc: 62.74%
2024-03-19 16:19 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 1.4789 | Acc: 45.76%
2024-03-19 16:20 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 0.9871 | Acc: 57.22%
2024-03-19 16:21 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 1.0165 | Acc: 56.52%
2024-03-19 16:21 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 1.7395 | Acc: 42.37%
2024-03-19 16:21 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 1.0269 | Acc: 52.94%
2024-03-19 16:21 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 1.2434 | Acc: 51.30%
2024-03-19 16:21 test_domain Round:   5 | Epochs:  25 | Domain: c | loss: 1.3591 | Acc: 63.68%
2024-03-19 16:22 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 1.4958 | Acc: 46.61%
2024-03-19 16:23 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 0.9980 | Acc: 55.08%
2024-03-19 16:24 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 1.0161 | Acc: 58.26%
2024-03-19 16:24 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 1.7233 | Acc: 42.37%
2024-03-19 16:24 after_fed Round:   6 | Epochs:  30 | Domain: l | loss: 1.0484 | Acc: 51.87%
2024-03-19 16:24 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 1.1903 | Acc: 52.61%
2024-03-19 16:24 Model saved! Best Val Acc: 134.30%
2024-03-19 16:24 test_domain Round:   6 | Epochs:  30 | Domain: c | loss: 1.3732 | Acc: 63.21%
2024-03-19 16:25 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 1.4829 | Acc: 46.61%
2024-03-19 16:26 before_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.0517 | Acc: 57.22%
2024-03-19 16:27 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.0357 | Acc: 56.96%
2024-03-19 16:27 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 1.8018 | Acc: 42.80%
2024-03-19 16:27 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.1116 | Acc: 49.20%
2024-03-19 16:27 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 1.2290 | Acc: 50.43%
