2024-03-19 16:36 comment: fed avg, agglomerator(no-pre fixed), vlcs on s
2024-03-19 16:37 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.5369 | Acc: 43.22%
2024-03-19 16:38 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.0660 | Acc: 54.55%
2024-03-19 16:38 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.9107 | Acc: 63.00%
2024-03-19 16:38 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.7435 | Acc: 43.64%
2024-03-19 16:38 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.0402 | Acc: 50.80%
2024-03-19 16:38 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.3133 | Acc: 60.00%
2024-03-19 16:38 Model saved! Best Val Acc: 141.09%
2024-03-19 16:38 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 1.5701 | Acc: 45.69%
2024-03-19 16:39 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.5078 | Acc: 41.95%
2024-03-19 16:40 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.0263 | Acc: 56.15%
2024-03-19 16:41 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.7026 | Acc: 71.00%
2024-03-19 16:41 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 1.6360 | Acc: 43.64%
2024-03-19 16:41 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.0260 | Acc: 54.55%
2024-03-19 16:41 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.0522 | Acc: 66.00%
2024-03-19 16:41 Model saved! Best Val Acc: 130.76%
2024-03-19 16:41 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 1.4803 | Acc: 44.67%
2024-03-19 16:42 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 1.4721 | Acc: 44.07%
