2024-03-19 10:38 comment: fed avg, ccnet(3heads), vlcs on l
2024-03-19 10:38 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.6758 | Acc: 75.00%
2024-03-19 10:39 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.3847 | Acc: 85.00%
2024-03-19 10:40 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.8876 | Acc: 72.17%
2024-03-19 10:40 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.5384 | Acc: 58.90%
2024-03-19 10:40 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.9207 | Acc: 69.00%
2024-03-19 10:40 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.8019 | Acc: 69.57%
2024-03-19 10:40 Model saved! Best Val Acc: 113.07%
2024-03-19 10:40 test_domain Round:   0 | Epochs:   0 | Domain: l | loss: 1.1413 | Acc: 54.96%
2024-03-19 10:40 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6955 | Acc: 77.97%
2024-03-19 10:41 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1351 | Acc: 96.00%
2024-03-19 10:41 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.8148 | Acc: 72.17%
2024-03-19 10:41 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.9089 | Acc: 68.22%
2024-03-19 10:41 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.3397 | Acc: 88.00%
2024-03-19 10:41 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.7422 | Acc: 72.61%
2024-03-19 10:42 Model saved! Best Val Acc: 74.15%
2024-03-19 10:42 test_domain Round:   1 | Epochs:   5 | Domain: l | loss: 1.3490 | Acc: 54.83%
2024-03-19 10:42 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6302 | Acc: 78.81%
2024-03-19 10:43 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0410 | Acc: 99.00%
2024-03-19 10:43 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.7467 | Acc: 75.22%
2024-03-19 10:43 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6478 | Acc: 75.42%
2024-03-19 10:43 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1270 | Acc: 95.00%
2024-03-19 10:43 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.7326 | Acc: 73.91%
2024-03-19 10:43 Model saved! Best Val Acc: 59.11%
2024-03-19 10:43 test_domain Round:   2 | Epochs:  10 | Domain: l | loss: 1.5263 | Acc: 54.71%
2024-03-19 10:44 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.5749 | Acc: 81.78%
2024-03-19 10:44 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0186 | Acc: 100.00%
2024-03-19 10:45 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.7270 | Acc: 77.39%
2024-03-19 10:45 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.6357 | Acc: 78.39%
2024-03-19 10:45 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0775 | Acc: 98.00%
2024-03-19 10:45 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.7275 | Acc: 73.91%
2024-03-19 10:45 Model saved! Best Val Acc: 57.53%
2024-03-19 10:45 test_domain Round:   3 | Epochs:  15 | Domain: l | loss: 1.6299 | Acc: 54.58%
2024-03-19 10:46 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.5766 | Acc: 82.20%
2024-03-19 10:46 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0099 | Acc: 100.00%
2024-03-19 10:47 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.7301 | Acc: 77.39%
2024-03-19 10:47 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.6506 | Acc: 77.97%
2024-03-19 10:47 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0514 | Acc: 99.00%
2024-03-19 10:47 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.7212 | Acc: 74.35%
2024-03-19 10:47 Model saved! Best Val Acc: 57.44%
2024-03-19 10:47 test_domain Round:   4 | Epochs:  20 | Domain: l | loss: 1.6194 | Acc: 55.96%
2024-03-19 10:48 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.5835 | Acc: 81.78%
