2024-03-19 11:52 comment: fed avg, ccnet(3heads), vlcs on c
2024-03-19 11:53 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.6848 | Acc: 75.42%
2024-03-19 11:53 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.0948 | Acc: 68.45%
2024-03-19 11:54 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.8861 | Acc: 72.17%
2024-03-19 11:54 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.7334 | Acc: 57.20%
2024-03-19 11:54 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.0812 | Acc: 60.96%
2024-03-19 11:54 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.9010 | Acc: 66.09%
2024-03-19 11:54 Model saved! Best Val Acc: 125.41%
2024-03-19 11:54 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 1.1731 | Acc: 70.52%
2024-03-19 11:55 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.7766 | Acc: 76.69%
2024-03-19 11:55 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 0.7474 | Acc: 74.33%
2024-03-19 11:56 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.8609 | Acc: 72.17%
2024-03-19 11:56 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.9102 | Acc: 69.49%
2024-03-19 11:56 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.0338 | Acc: 61.50%
2024-03-19 11:56 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.7259 | Acc: 73.91%
2024-03-19 11:56 Model saved! Best Val Acc: 88.05%
2024-03-19 11:56 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 0.5456 | Acc: 81.60%
2024-03-19 11:57 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6310 | Acc: 78.39%
2024-03-19 11:57 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 0.7239 | Acc: 74.87%
2024-03-19 11:58 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.7507 | Acc: 76.52%
2024-03-19 11:58 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6266 | Acc: 77.12%
2024-03-19 11:58 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.0450 | Acc: 63.64%
2024-03-19 11:58 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.6913 | Acc: 73.91%
2024-03-19 11:58 Model saved! Best Val Acc: 76.87%
2024-03-19 11:58 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 0.3219 | Acc: 91.98%
2024-03-19 11:59 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.5867 | Acc: 80.51%
2024-03-19 11:59 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 0.7204 | Acc: 74.87%
2024-03-19 12:00 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.7358 | Acc: 77.39%
2024-03-19 12:00 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.6233 | Acc: 75.42%
2024-03-19 12:00 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.0643 | Acc: 66.31%
2024-03-19 12:00 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.6658 | Acc: 76.09%
2024-03-19 12:00 Model saved! Best Val Acc: 76.41%
2024-03-19 12:00 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 0.2687 | Acc: 92.45%
2024-03-19 12:01 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.5875 | Acc: 80.93%
2024-03-19 12:01 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 0.7136 | Acc: 77.54%
2024-03-19 12:02 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.7242 | Acc: 76.96%
2024-03-19 12:02 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.6232 | Acc: 76.27%
2024-03-19 12:02 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.0163 | Acc: 67.38%
2024-03-19 12:02 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.6615 | Acc: 76.09%
2024-03-19 12:02 Model saved! Best Val Acc: 74.88%
2024-03-19 12:02 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 0.2157 | Acc: 93.63%
2024-03-19 12:03 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.5865 | Acc: 80.93%
2024-03-19 12:03 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 0.7191 | Acc: 76.47%
2024-03-19 12:04 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.7324 | Acc: 76.52%
2024-03-19 12:04 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.6262 | Acc: 77.97%
2024-03-19 12:04 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 1.0668 | Acc: 66.84%
2024-03-19 12:04 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.6589 | Acc: 76.52%
2024-03-19 12:04 test_domain Round:   5 | Epochs:  25 | Domain: c | loss: 0.2216 | Acc: 93.63%
2024-03-19 12:04 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 0.6053 | Acc: 81.36%
2024-03-19 12:05 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 0.7327 | Acc: 76.47%
2024-03-19 12:06 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.7479 | Acc: 76.09%
2024-03-19 12:06 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 0.6477 | Acc: 77.97%
2024-03-19 12:06 after_fed Round:   6 | Epochs:  30 | Domain: l | loss: 1.1008 | Acc: 65.24%
2024-03-19 12:06 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.6673 | Acc: 76.96%
2024-03-19 12:06 test_domain Round:   6 | Epochs:  30 | Domain: c | loss: 0.2337 | Acc: 93.16%
2024-03-19 12:06 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 0.6181 | Acc: 80.93%
2024-03-19 12:07 before_fed Round:   7 | Epochs:  35 | Domain: l | loss: 0.7506 | Acc: 73.80%
2024-03-19 12:07 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.7627 | Acc: 76.09%
2024-03-19 12:07 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 0.6700 | Acc: 78.39%
2024-03-19 12:08 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.1494 | Acc: 65.24%
2024-03-19 12:08 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.6809 | Acc: 77.83%
2024-03-19 12:08 test_domain Round:   7 | Epochs:  35 | Domain: c | loss: 0.2409 | Acc: 92.69%
2024-03-19 12:08 before_fed Round:   8 | Epochs:  40 | Domain: v | loss: 0.6356 | Acc: 80.93%
2024-03-19 12:09 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 0.7706 | Acc: 74.33%
2024-03-19 12:09 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.7874 | Acc: 76.52%
2024-03-19 12:09 after_fed Round:   8 | Epochs:  40 | Domain: v | loss: 0.6879 | Acc: 77.97%
2024-03-19 12:09 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.2081 | Acc: 65.78%
2024-03-19 12:10 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.6938 | Acc: 77.39%
2024-03-19 12:10 test_domain Round:   8 | Epochs:  40 | Domain: c | loss: 0.2380 | Acc: 92.69%
2024-03-19 12:10 before_fed Round:   9 | Epochs:  45 | Domain: v | loss: 0.6570 | Acc: 81.36%
2024-03-19 12:11 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 0.7737 | Acc: 73.80%
2024-03-19 12:11 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.8078 | Acc: 75.65%
2024-03-19 12:11 after_fed Round:   9 | Epochs:  45 | Domain: v | loss: 0.7073 | Acc: 77.97%
2024-03-19 12:11 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.2411 | Acc: 65.24%
2024-03-19 12:11 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.7079 | Acc: 77.39%
2024-03-19 12:11 test_domain Round:   9 | Epochs:  45 | Domain: c | loss: 0.2435 | Acc: 91.98%
2024-03-19 12:12 before_fed Round:  10 | Epochs:  50 | Domain: v | loss: 0.6757 | Acc: 81.36%
2024-03-19 12:13 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 0.8029 | Acc: 72.73%
2024-03-19 12:13 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.8369 | Acc: 75.65%
2024-03-19 12:13 after_fed Round:  10 | Epochs:  50 | Domain: v | loss: 0.7290 | Acc: 77.54%
2024-03-19 12:13 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.3056 | Acc: 65.24%
2024-03-19 12:13 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.7269 | Acc: 77.39%
2024-03-19 12:13 test_domain Round:  10 | Epochs:  50 | Domain: c | loss: 0.2436 | Acc: 91.98%
2024-03-19 12:14 before_fed Round:  11 | Epochs:  55 | Domain: v | loss: 0.6925 | Acc: 81.78%
2024-03-19 12:15 before_fed Round:  11 | Epochs:  55 | Domain: l | loss: 0.8142 | Acc: 70.59%
2024-03-19 12:15 before_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.8505 | Acc: 76.09%
2024-03-19 12:15 after_fed Round:  11 | Epochs:  55 | Domain: v | loss: 0.7464 | Acc: 77.54%
2024-03-19 12:15 after_fed Round:  11 | Epochs:  55 | Domain: l | loss: 1.3366 | Acc: 64.71%
2024-03-19 12:15 after_fed Round:  11 | Epochs:  55 | Domain: s | loss: 0.7429 | Acc: 77.39%
2024-03-19 12:15 test_domain Round:  11 | Epochs:  55 | Domain: c | loss: 0.2446 | Acc: 91.98%
2024-03-19 12:16 before_fed Round:  12 | Epochs:  60 | Domain: v | loss: 0.7066 | Acc: 80.93%
2024-03-19 12:16 before_fed Round:  12 | Epochs:  60 | Domain: l | loss: 0.8392 | Acc: 71.12%
2024-03-19 12:17 before_fed Round:  12 | Epochs:  60 | Domain: s | loss: 0.8777 | Acc: 76.52%
