2024-03-19 13:12 comment: fed avg, ccnet(3heads), vlcs on r
2024-03-19 13:12 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.6816 | Acc: 77.12%
2024-03-19 13:13 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.1319 | Acc: 65.24%
2024-03-19 13:13 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.3486 | Acc: 85.00%
2024-03-19 13:13 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 1.1775 | Acc: 55.08%
2024-03-19 13:13 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 0.8611 | Acc: 63.64%
2024-03-19 13:13 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.4825 | Acc: 81.00%
2024-03-19 13:13 Model saved! Best Val Acc: 93.27%
2024-03-19 13:13 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 1.3197 | Acc: 47.31%
2024-03-19 13:14 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6739 | Acc: 77.97%
2024-03-19 13:14 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 0.7294 | Acc: 71.66%
2024-03-19 13:15 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0681 | Acc: 99.00%
2024-03-19 13:15 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6904 | Acc: 72.88%
2024-03-19 13:15 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 0.8521 | Acc: 65.78%
2024-03-19 13:15 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1656 | Acc: 96.00%
2024-03-19 13:15 Model saved! Best Val Acc: 64.85%
2024-03-19 13:15 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 0.8780 | Acc: 64.26%
2024-03-19 13:16 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6353 | Acc: 78.81%
2024-03-19 13:16 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 0.7179 | Acc: 75.40%
2024-03-19 13:16 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0213 | Acc: 100.00%
2024-03-19 13:16 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6084 | Acc: 77.97%
2024-03-19 13:17 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 0.8942 | Acc: 63.64%
2024-03-19 13:17 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0790 | Acc: 99.00%
2024-03-19 13:17 Model saved! Best Val Acc: 60.99%
2024-03-19 13:17 test_domain Round:   2 | Epochs:  10 | Domain: s | loss: 0.8020 | Acc: 68.32%
2024-03-19 13:17 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.6179 | Acc: 80.93%
