2024-03-19 09:29 comment: fed avg, ccnet(3heads), vlcs on v
2024-03-19 09:30 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.3001 | Acc: 65.78%
2024-03-19 09:30 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.3906 | Acc: 84.00%
2024-03-19 09:31 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.8986 | Acc: 71.74%
2024-03-19 09:31 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.2799 | Acc: 59.89%
2024-03-19 09:31 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 1.6812 | Acc: 70.00%
2024-03-19 09:31 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.5240 | Acc: 52.61%
2024-03-19 09:31 Model saved! Best Val Acc: 146.60%
2024-03-19 09:31 test_domain Round:   0 | Epochs:   0 | Domain: v | loss: 2.7736 | Acc: 47.19%
2024-03-19 09:31 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 0.8811 | Acc: 71.12%
2024-03-19 09:32 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.5009 | Acc: 82.00%
2024-03-19 09:32 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.9416 | Acc: 72.17%
2024-03-19 09:32 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.4365 | Acc: 56.15%
2024-03-19 09:32 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 1.1659 | Acc: 74.00%
2024-03-19 09:32 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.8144 | Acc: 72.17%
2024-03-19 09:32 Model saved! Best Val Acc: 110.67%
2024-03-19 09:32 test_domain Round:   1 | Epochs:   5 | Domain: v | loss: 2.3244 | Acc: 56.56%
2024-03-19 09:33 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 0.7186 | Acc: 72.73%
2024-03-19 09:33 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1822 | Acc: 96.00%
2024-03-19 09:34 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.7772 | Acc: 74.78%
2024-03-19 09:34 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.2122 | Acc: 60.43%
2024-03-19 09:34 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.3647 | Acc: 94.00%
2024-03-19 09:34 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.6645 | Acc: 75.65%
2024-03-19 09:34 Model saved! Best Val Acc: 80.48%
2024-03-19 09:34 test_domain Round:   2 | Epochs:  10 | Domain: v | loss: 1.1544 | Acc: 62.19%
2024-03-19 09:35 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 0.7817 | Acc: 71.66%
2024-03-19 09:35 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0657 | Acc: 99.00%
2024-03-19 09:36 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.7533 | Acc: 76.96%
2024-03-19 09:36 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.1339 | Acc: 65.24%
2024-03-19 09:36 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.2473 | Acc: 98.00%
2024-03-19 09:36 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.6676 | Acc: 76.09%
2024-03-19 09:36 Model saved! Best Val Acc: 75.53%
2024-03-19 09:36 test_domain Round:   3 | Epochs:  15 | Domain: v | loss: 1.1175 | Acc: 64.26%
2024-03-19 09:36 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 0.7543 | Acc: 73.80%
