2024-04-15 12:26 comment: fedprox, ccnet(3heads), vlcs on c
2024-04-15 12:27 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.6452 | Acc: 82.63%
2024-04-15 12:28 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 0.7801 | Acc: 72.73%
2024-04-15 12:28 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.7847 | Acc: 75.65%
2024-04-15 12:28 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.7252 | Acc: 77.97%
2024-04-15 12:28 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.1484 | Acc: 64.71%
2024-04-15 12:28 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.7340 | Acc: 72.17%
2024-04-15 12:28 Model saved! Best Val Acc: 72.14%
2024-04-15 12:28 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 0.3615 | Acc: 90.33%
2024-04-15 12:29 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6341 | Acc: 80.93%
2024-04-15 12:30 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 0.7535 | Acc: 71.12%
2024-04-15 12:30 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.7221 | Acc: 75.65%
2024-04-15 12:30 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6446 | Acc: 79.66%
2024-04-15 12:30 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.0933 | Acc: 64.71%
2024-04-15 12:30 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.6935 | Acc: 75.65%
2024-04-15 12:30 Model saved! Best Val Acc: 73.98%
2024-04-15 12:30 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 0.2716 | Acc: 92.92%
2024-04-15 12:31 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6219 | Acc: 80.08%
2024-04-15 12:31 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 0.7578 | Acc: 71.12%
2024-04-15 12:32 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.7169 | Acc: 77.83%
2024-04-15 12:32 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6276 | Acc: 80.93%
2024-04-15 12:32 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.2060 | Acc: 65.24%
2024-04-15 12:32 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.6763 | Acc: 77.39%
2024-04-15 12:32 Model saved! Best Val Acc: 75.21%
2024-04-15 12:32 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 0.2445 | Acc: 93.63%
2024-04-15 12:33 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.6174 | Acc: 81.36%
2024-04-15 12:33 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 0.7769 | Acc: 70.59%
2024-04-15 12:34 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.7037 | Acc: 76.09%
2024-04-15 12:34 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.6281 | Acc: 80.51%
2024-04-15 12:34 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.2338 | Acc: 65.24%
2024-04-15 12:34 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.6783 | Acc: 76.52%
2024-04-15 12:34 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 0.2262 | Acc: 93.63%
2024-04-15 12:35 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.6153 | Acc: 81.78%
2024-04-15 12:35 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 0.7830 | Acc: 71.12%
2024-04-15 12:36 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.7163 | Acc: 76.52%
2024-04-15 12:36 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.6302 | Acc: 80.51%
2024-04-15 12:36 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.2686 | Acc: 63.10%
2024-04-15 12:36 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.6799 | Acc: 74.78%
2024-04-15 12:36 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 0.2206 | Acc: 94.34%
2024-04-15 12:37 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.6396 | Acc: 80.93%
2024-04-15 12:37 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 0.7759 | Acc: 71.12%
2024-04-15 12:38 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.7307 | Acc: 76.09%
2024-04-15 12:38 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.6399 | Acc: 80.08%
2024-04-15 12:38 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 1.2397 | Acc: 65.78%
2024-04-15 12:38 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.6862 | Acc: 77.39%
2024-04-15 12:38 test_domain Round:   5 | Epochs:  25 | Domain: c | loss: 0.2078 | Acc: 94.58%
2024-04-15 12:39 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 0.6408 | Acc: 80.51%
2024-04-15 12:39 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 0.8129 | Acc: 68.98%
2024-04-15 12:40 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.7085 | Acc: 76.96%
2024-04-15 12:40 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 0.6509 | Acc: 80.51%
2024-04-15 12:40 after_fed Round:   6 | Epochs:  30 | Domain: l | loss: 1.2127 | Acc: 64.71%
2024-04-15 12:40 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.6871 | Acc: 76.09%
2024-04-15 12:40 test_domain Round:   6 | Epochs:  30 | Domain: c | loss: 0.2003 | Acc: 94.34%
2024-04-15 12:41 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 0.6433 | Acc: 82.20%
2024-04-15 12:41 before_fed Round:   7 | Epochs:  35 | Domain: l | loss: 0.8324 | Acc: 70.05%
2024-04-15 12:42 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.7244 | Acc: 77.83%
2024-04-15 12:42 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 0.6530 | Acc: 79.66%
2024-04-15 12:42 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.2761 | Acc: 64.71%
2024-04-15 12:42 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.6828 | Acc: 76.52%
2024-04-15 12:42 test_domain Round:   7 | Epochs:  35 | Domain: c | loss: 0.1917 | Acc: 94.34%
2024-04-15 12:43 before_fed Round:   8 | Epochs:  40 | Domain: v | loss: 0.6569 | Acc: 80.93%
2024-04-15 12:43 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 0.8550 | Acc: 68.98%
2024-04-15 12:44 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.7227 | Acc: 77.39%
2024-04-15 12:44 after_fed Round:   8 | Epochs:  40 | Domain: v | loss: 0.6753 | Acc: 80.51%
2024-04-15 12:44 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.2260 | Acc: 64.17%
2024-04-15 12:44 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.6902 | Acc: 76.96%
2024-04-15 12:44 test_domain Round:   8 | Epochs:  40 | Domain: c | loss: 0.1892 | Acc: 94.34%
2024-04-15 12:44 before_fed Round:   9 | Epochs:  45 | Domain: v | loss: 0.6662 | Acc: 80.93%
2024-04-15 12:45 before_fed Round:   9 | Epochs:  45 | Domain: l | loss: 0.8774 | Acc: 65.78%
2024-04-15 12:46 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.7192 | Acc: 76.52%
2024-04-15 12:46 after_fed Round:   9 | Epochs:  45 | Domain: v | loss: 0.6820 | Acc: 80.51%
2024-04-15 12:46 after_fed Round:   9 | Epochs:  45 | Domain: l | loss: 1.2222 | Acc: 64.71%
2024-04-15 12:46 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.6959 | Acc: 76.96%
2024-04-15 12:46 test_domain Round:   9 | Epochs:  45 | Domain: c | loss: 0.1873 | Acc: 94.34%
2024-04-15 12:46 before_fed Round:  10 | Epochs:  50 | Domain: v | loss: 0.6604 | Acc: 81.78%
2024-04-15 12:47 before_fed Round:  10 | Epochs:  50 | Domain: l | loss: 0.9250 | Acc: 68.45%
2024-04-15 12:47 before_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.7004 | Acc: 75.65%
2024-04-15 12:47 after_fed Round:  10 | Epochs:  50 | Domain: v | loss: 0.6753 | Acc: 80.93%
2024-04-15 12:48 after_fed Round:  10 | Epochs:  50 | Domain: l | loss: 1.1914 | Acc: 66.31%
2024-04-15 12:48 after_fed Round:  10 | Epochs:  50 | Domain: s | loss: 0.6961 | Acc: 76.52%
2024-04-15 12:48 test_domain Round:  10 | Epochs:  50 | Domain: c | loss: 0.1791 | Acc: 94.34%
