2024-04-15 12:48 comment: fedprox, ccnet(3heads), vlcs on s
2024-04-15 12:49 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.7096 | Acc: 79.66%
2024-04-15 12:49 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 0.7836 | Acc: 72.73%
2024-04-15 12:49 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.0428 | Acc: 99.00%
2024-04-15 12:50 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.7082 | Acc: 75.85%
2024-04-15 12:50 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.0707 | Acc: 63.64%
2024-04-15 12:50 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.0357 | Acc: 98.00%
2024-04-15 12:50 Model saved! Best Val Acc: 75.70%
2024-04-15 12:50 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 1.0494 | Acc: 61.22%
2024-04-15 12:50 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6224 | Acc: 80.93%
2024-04-15 12:51 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 0.7867 | Acc: 73.80%
2024-04-15 12:51 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0033 | Acc: 100.00%
2024-04-15 12:51 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6114 | Acc: 80.51%
2024-04-15 12:51 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.1512 | Acc: 63.10%
2024-04-15 12:51 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0167 | Acc: 100.00%
2024-04-15 12:51 Model saved! Best Val Acc: 78.00%
2024-04-15 12:51 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 0.8683 | Acc: 67.72%
2024-04-15 12:52 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6218 | Acc: 80.51%
2024-04-15 12:52 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 0.8217 | Acc: 71.66%
2024-04-15 12:53 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0048 | Acc: 100.00%
2024-04-15 12:53 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.5975 | Acc: 80.51%
2024-04-15 12:53 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.0554 | Acc: 63.10%
2024-04-15 12:53 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0154 | Acc: 100.00%
2024-04-15 12:53 Model saved! Best Val Acc: 78.00%
2024-04-15 12:53 test_domain Round:   2 | Epochs:  10 | Domain: s | loss: 0.8556 | Acc: 67.51%
2024-04-15 12:54 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.6333 | Acc: 81.36%
2024-04-15 12:54 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 0.8717 | Acc: 69.52%
2024-04-15 12:55 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0051 | Acc: 100.00%
2024-04-15 12:55 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.6102 | Acc: 80.08%
2024-04-15 12:55 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 0.9994 | Acc: 67.91%
2024-04-15 12:55 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0154 | Acc: 100.00%
2024-04-15 12:55 Model saved! Best Val Acc: 79.52%
2024-04-15 12:55 test_domain Round:   3 | Epochs:  15 | Domain: s | loss: 0.8879 | Acc: 67.01%
2024-04-15 12:55 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.6292 | Acc: 80.93%
2024-04-15 12:56 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 0.8276 | Acc: 72.73%
2024-04-15 12:56 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0056 | Acc: 100.00%
2024-04-15 12:56 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.6060 | Acc: 79.66%
2024-04-15 12:56 after_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.1499 | Acc: 63.10%
2024-04-15 12:56 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0139 | Acc: 100.00%
2024-04-15 12:56 test_domain Round:   4 | Epochs:  20 | Domain: s | loss: 0.8668 | Acc: 68.02%
2024-04-15 12:57 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.6495 | Acc: 80.51%
2024-04-15 12:58 before_fed Round:   5 | Epochs:  25 | Domain: l | loss: 0.8317 | Acc: 73.80%
2024-04-15 12:58 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0057 | Acc: 100.00%
2024-04-15 12:58 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.6248 | Acc: 79.66%
2024-04-15 12:58 after_fed Round:   5 | Epochs:  25 | Domain: l | loss: 1.0820 | Acc: 64.71%
2024-04-15 12:58 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0142 | Acc: 99.00%
2024-04-15 12:58 test_domain Round:   5 | Epochs:  25 | Domain: s | loss: 0.8904 | Acc: 67.92%
2024-04-15 12:59 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 0.6468 | Acc: 80.93%
2024-04-15 12:59 before_fed Round:   6 | Epochs:  30 | Domain: l | loss: 0.8398 | Acc: 75.94%
2024-04-15 13:00 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.0060 | Acc: 100.00%
2024-04-15 13:00 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 0.6250 | Acc: 80.08%
2024-04-15 13:00 after_fed Round:   6 | Epochs:  30 | Domain: l | loss: 1.1160 | Acc: 64.17%
2024-04-15 13:00 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.0126 | Acc: 100.00%
2024-04-15 13:00 test_domain Round:   6 | Epochs:  30 | Domain: s | loss: 0.9013 | Acc: 67.01%
2024-04-15 13:00 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 0.6503 | Acc: 80.93%
2024-04-15 13:01 before_fed Round:   7 | Epochs:  35 | Domain: l | loss: 0.8751 | Acc: 72.73%
2024-04-15 13:01 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.0058 | Acc: 100.00%
2024-04-15 13:01 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 0.6307 | Acc: 80.08%
2024-04-15 13:01 after_fed Round:   7 | Epochs:  35 | Domain: l | loss: 1.1383 | Acc: 63.64%
2024-04-15 13:01 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.0128 | Acc: 100.00%
2024-04-15 13:01 test_domain Round:   7 | Epochs:  35 | Domain: s | loss: 0.9149 | Acc: 67.11%
2024-04-15 13:02 before_fed Round:   8 | Epochs:  40 | Domain: v | loss: 0.6715 | Acc: 81.36%
2024-04-15 13:02 before_fed Round:   8 | Epochs:  40 | Domain: l | loss: 0.8784 | Acc: 73.26%
2024-04-15 13:02 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.0063 | Acc: 100.00%
2024-04-15 13:02 after_fed Round:   8 | Epochs:  40 | Domain: v | loss: 0.6404 | Acc: 80.08%
2024-04-15 13:02 after_fed Round:   8 | Epochs:  40 | Domain: l | loss: 1.1231 | Acc: 65.78%
