2024-04-15 11:48 comment: fedprox, ccnet(3heads), vlcs on v
2024-04-15 11:48 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 0.8051 | Acc: 73.26%
2024-04-15 11:49 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.0489 | Acc: 99.00%
2024-04-15 11:49 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.8015 | Acc: 74.78%
2024-04-15 11:49 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 1.2252 | Acc: 60.43%
2024-04-15 11:50 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.1853 | Acc: 95.00%
2024-04-15 11:50 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.7920 | Acc: 70.00%
2024-04-15 11:50 Model saved! Best Val Acc: 71.35%
2024-04-15 11:50 test_domain Round:   0 | Epochs:   0 | Domain: v | loss: 1.2232 | Acc: 63.38%
2024-04-15 11:50 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 0.7655 | Acc: 75.40%
2024-04-15 11:50 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0219 | Acc: 99.00%
2024-04-15 11:51 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.7318 | Acc: 74.78%
2024-04-15 11:51 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.3642 | Acc: 62.03%
2024-04-15 11:51 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1118 | Acc: 98.00%
2024-04-15 11:51 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.6748 | Acc: 74.35%
2024-04-15 11:51 Model saved! Best Val Acc: 74.44%
2024-04-15 11:51 test_domain Round:   1 | Epochs:   5 | Domain: v | loss: 1.0267 | Acc: 66.44%
2024-04-15 11:52 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 0.7673 | Acc: 74.33%
2024-04-15 11:52 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0358 | Acc: 99.00%
2024-04-15 11:53 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.7196 | Acc: 74.78%
2024-04-15 11:53 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.1939 | Acc: 64.17%
2024-04-15 11:53 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1028 | Acc: 98.00%
2024-04-15 11:53 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.6723 | Acc: 73.91%
2024-04-15 11:53 Model saved! Best Val Acc: 75.02%
2024-04-15 11:53 test_domain Round:   2 | Epochs:  10 | Domain: v | loss: 0.9924 | Acc: 67.23%
2024-04-15 11:53 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 0.7822 | Acc: 72.73%
2024-04-15 11:54 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0377 | Acc: 99.00%
