2024-04-15 12:06 comment: fedprox, ccnet(3heads), vlcs on l
2024-04-15 12:07 before_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.6323 | Acc: 80.93%
2024-04-15 12:07 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.0370 | Acc: 99.00%
2024-04-15 12:08 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.8161 | Acc: 74.78%
2024-04-15 12:08 after_fed Round:   0 | Epochs:   0 | Domain: v | loss: 0.8062 | Acc: 74.15%
2024-04-15 12:08 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.0969 | Acc: 98.00%
2024-04-15 12:08 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.8239 | Acc: 71.30%
2024-04-15 12:08 Model saved! Best Val Acc: 77.17%
2024-04-15 12:08 test_domain Round:   0 | Epochs:   0 | Domain: l | loss: 1.9022 | Acc: 51.69%
2024-04-15 12:09 before_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6133 | Acc: 81.78%
2024-04-15 12:09 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0044 | Acc: 100.00%
2024-04-15 12:10 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.7058 | Acc: 76.96%
2024-04-15 12:10 after_fed Round:   1 | Epochs:   5 | Domain: v | loss: 0.6254 | Acc: 80.08%
2024-04-15 12:10 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.0348 | Acc: 99.00%
2024-04-15 12:10 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.7545 | Acc: 74.35%
2024-04-15 12:10 Model saved! Best Val Acc: 81.06%
2024-04-15 12:10 test_domain Round:   1 | Epochs:   5 | Domain: l | loss: 1.7849 | Acc: 53.83%
2024-04-15 12:11 before_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6000 | Acc: 82.20%
2024-04-15 12:11 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0049 | Acc: 100.00%
2024-04-15 12:12 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.7077 | Acc: 76.09%
2024-04-15 12:12 after_fed Round:   2 | Epochs:  10 | Domain: v | loss: 0.6152 | Acc: 81.36%
2024-04-15 12:12 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.0294 | Acc: 99.00%
2024-04-15 12:12 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.7392 | Acc: 76.09%
2024-04-15 12:12 Model saved! Best Val Acc: 82.30%
2024-04-15 12:12 test_domain Round:   2 | Epochs:  10 | Domain: l | loss: 1.8405 | Acc: 54.71%
2024-04-15 12:12 before_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.5962 | Acc: 81.78%
2024-04-15 12:13 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0048 | Acc: 100.00%
2024-04-15 12:14 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.7038 | Acc: 76.96%
2024-04-15 12:14 after_fed Round:   3 | Epochs:  15 | Domain: v | loss: 0.6192 | Acc: 80.51%
2024-04-15 12:14 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.0271 | Acc: 99.00%
2024-04-15 12:14 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.7283 | Acc: 75.65%
2024-04-15 12:14 test_domain Round:   3 | Epochs:  15 | Domain: l | loss: 1.8452 | Acc: 54.20%
2024-04-15 12:14 before_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.6090 | Acc: 80.93%
2024-04-15 12:15 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0049 | Acc: 100.00%
2024-04-15 12:15 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.7188 | Acc: 75.65%
2024-04-15 12:15 after_fed Round:   4 | Epochs:  20 | Domain: v | loss: 0.6370 | Acc: 80.51%
2024-04-15 12:15 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.0232 | Acc: 99.00%
2024-04-15 12:15 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.7387 | Acc: 76.09%
2024-04-15 12:15 test_domain Round:   4 | Epochs:  20 | Domain: l | loss: 1.8836 | Acc: 54.58%
2024-04-15 12:16 before_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.6314 | Acc: 80.93%
2024-04-15 12:16 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0048 | Acc: 100.00%
2024-04-15 12:17 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.7149 | Acc: 76.09%
2024-04-15 12:17 after_fed Round:   5 | Epochs:  25 | Domain: v | loss: 0.6490 | Acc: 80.51%
2024-04-15 12:17 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.0217 | Acc: 99.00%
2024-04-15 12:17 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.7326 | Acc: 76.09%
2024-04-15 12:17 test_domain Round:   5 | Epochs:  25 | Domain: l | loss: 1.7730 | Acc: 56.84%
2024-04-15 12:18 before_fed Round:   6 | Epochs:  30 | Domain: v | loss: 0.6308 | Acc: 81.36%
2024-04-15 12:18 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.0041 | Acc: 100.00%
2024-04-15 12:19 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.7212 | Acc: 76.09%
2024-04-15 12:19 after_fed Round:   6 | Epochs:  30 | Domain: v | loss: 0.6558 | Acc: 79.66%
2024-04-15 12:19 after_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.0192 | Acc: 99.00%
2024-04-15 12:19 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.7433 | Acc: 75.22%
2024-04-15 12:19 test_domain Round:   6 | Epochs:  30 | Domain: l | loss: 1.8591 | Acc: 55.96%
2024-04-15 12:20 before_fed Round:   7 | Epochs:  35 | Domain: v | loss: 0.6358 | Acc: 80.51%
2024-04-15 12:20 before_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.0051 | Acc: 100.00%
2024-04-15 12:21 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.7411 | Acc: 75.22%
2024-04-15 12:21 after_fed Round:   7 | Epochs:  35 | Domain: v | loss: 0.6667 | Acc: 81.36%
2024-04-15 12:21 after_fed Round:   7 | Epochs:  35 | Domain: c | loss: 0.0186 | Acc: 99.00%
2024-04-15 12:21 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.7540 | Acc: 75.65%
2024-04-15 12:21 test_domain Round:   7 | Epochs:  35 | Domain: l | loss: 1.9475 | Acc: 55.46%
2024-04-15 12:21 before_fed Round:   8 | Epochs:  40 | Domain: v | loss: 0.6470 | Acc: 81.36%
2024-04-15 12:22 before_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.0052 | Acc: 100.00%
2024-04-15 12:22 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.7344 | Acc: 76.96%
2024-04-15 12:22 after_fed Round:   8 | Epochs:  40 | Domain: v | loss: 0.6837 | Acc: 81.78%
2024-04-15 12:22 after_fed Round:   8 | Epochs:  40 | Domain: c | loss: 0.0189 | Acc: 99.00%
2024-04-15 12:22 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.7492 | Acc: 76.96%
2024-04-15 12:22 Model saved! Best Val Acc: 82.83%
2024-04-15 12:22 test_domain Round:   8 | Epochs:  40 | Domain: l | loss: 1.8663 | Acc: 55.96%
2024-04-15 12:23 before_fed Round:   9 | Epochs:  45 | Domain: v | loss: 0.6741 | Acc: 81.78%
2024-04-15 12:23 before_fed Round:   9 | Epochs:  45 | Domain: c | loss: 0.0057 | Acc: 100.00%
2024-04-15 12:24 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.7540 | Acc: 76.96%
