2024-04-22 16:25 comment: scaffold, mobilenetv1 pretrained, vlcs on v
2024-04-22 16:25 before_fed Round:   0 | Epochs:   0 | Domain: l | loss: 2.1381 | Acc: 60.43%
2024-04-22 16:26 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 3.7305 | Acc: 66.00%
2024-04-22 16:26 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 1.3825 | Acc: 69.57%
2024-04-22 16:26 after_fed Round:   0 | Epochs:   0 | Domain: l | loss: 2.6970 | Acc: 47.06%
2024-04-22 16:26 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 4.2848 | Acc: 64.00%
2024-04-22 16:26 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 3.3113 | Acc: 43.91%
2024-04-22 16:26 Model saved! Best Val Acc: 48.91%
2024-04-22 16:26 test_domain Round:   0 | Epochs:   0 | Domain: v | loss: 5.1368 | Acc: 38.50%
2024-04-22 16:27 before_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.6673 | Acc: 62.57%
2024-04-22 16:27 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 2.0176 | Acc: 74.00%
2024-04-22 16:27 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.0120 | Acc: 74.78%
2024-04-22 16:27 after_fed Round:   1 | Epochs:   5 | Domain: l | loss: 1.8746 | Acc: 60.96%
2024-04-22 16:27 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 3.1845 | Acc: 70.00%
2024-04-22 16:27 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 1.4307 | Acc: 66.96%
2024-04-22 16:27 Model saved! Best Val Acc: 65.38%
2024-04-22 16:27 test_domain Round:   1 | Epochs:   5 | Domain: v | loss: 3.8668 | Acc: 52.02%
2024-04-22 16:28 before_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.5892 | Acc: 60.96%
2024-04-22 16:28 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 1.5233 | Acc: 79.00%
2024-04-22 16:29 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.9128 | Acc: 77.83%
2024-04-22 16:29 after_fed Round:   2 | Epochs:  10 | Domain: l | loss: 1.7144 | Acc: 59.89%
2024-04-22 16:29 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 2.5665 | Acc: 73.00%
2024-04-22 16:29 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 1.0081 | Acc: 73.91%
2024-04-22 16:29 Model saved! Best Val Acc: 68.67%
2024-04-22 16:29 test_domain Round:   2 | Epochs:  10 | Domain: v | loss: 3.2864 | Acc: 54.00%
2024-04-22 16:29 before_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.4010 | Acc: 64.71%
2024-04-22 16:29 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 1.2807 | Acc: 80.00%
2024-04-22 16:30 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.8486 | Acc: 77.39%
2024-04-22 16:30 after_fed Round:   3 | Epochs:  15 | Domain: l | loss: 1.6481 | Acc: 58.82%
2024-04-22 16:30 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 2.1762 | Acc: 73.00%
2024-04-22 16:30 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.8889 | Acc: 74.78%
2024-04-22 16:30 Model saved! Best Val Acc: 68.67%
2024-04-22 16:30 test_domain Round:   3 | Epochs:  15 | Domain: v | loss: 2.8979 | Acc: 54.59%
2024-04-22 16:30 before_fed Round:   4 | Epochs:  20 | Domain: l | loss: 1.3470 | Acc: 62.57%
2024-04-22 16:31 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 1.0805 | Acc: 80.00%
